 aaaammgghhpp  ARGE00   ARME00   ARRE00   AVET00   BOAT00   CARA00   CAST00   CERU00   CERV00   ERRO00   IMPE00   LEIR00   LERO00   LETI00   MARE00   MERETA   MERU00   MOLIBR   NERV00   PANESI   POLC00   PORA00   POSARA   POSLEV   PRIN00   QUIL00   RECC00   ROSSIG   SCIU00   SEGN00   SLOR00   TANA00   TEIR00   TIGLIE   VARA00   VCRO00   SANS00   CHIA00   BISA00   STRL00   NRVI00   SORI00   RUPI00   GHIA00   AMEF00   TREB00   CRIXIA   CENGIO   VARPEG 
 202010020000     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.04     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010020100     0.00     0.00     0.00     0.02     1.43     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.09     0.00     0.00     0.00     0.35     0.48     0.00     0.06     0.00     0.00     0.00     0.27     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.03     1.32     0.08     0.65     0.71     0.01     0.04     0.00     0.00     0.00     0.00     0.00
 202010020200     0.00     0.00     0.00     6.71    13.17     0.00     0.00     0.00     0.00     0.00     0.00     0.13     0.00     0.01     0.00     0.89     0.00     0.00     0.00     7.27     1.87     0.00     0.80     0.66     0.00     0.00     4.06     0.07     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.21     5.49     0.47     2.81     2.91     1.64     0.04     0.11     0.97     0.00     0.00     0.00
 202010020300     0.00     0.00     0.00    58.13    49.14     0.00     0.58     0.00     0.00     0.00     0.00     0.21     0.05     0.03     0.00     2.29     0.00     0.00     0.00    68.64     2.82     0.00    15.52     9.26     0.00     0.00    14.11     0.12     0.00     0.00     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.32     8.28     1.13     4.02     3.94     8.59     0.01     0.87    13.28     0.00     0.00     0.10
 202010020400     0.00     0.00     0.00   219.43    41.92     0.00     2.58     0.06     0.00     0.00     0.00     0.44     0.15     0.06     0.00     3.74     0.00     0.00     0.00   373.15     3.11     0.00   121.27    69.21     0.00     0.00    10.85     0.30     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.00     0.00     0.40    17.74     1.35     2.33     2.79    18.96     0.10     2.85    49.72     0.00     0.00     0.51
 202010020500     0.00     0.00     0.00   386.42    25.17     0.00     3.55     0.29     0.00     0.01     0.01     0.68     0.52     0.06     0.00     6.51     0.00     0.00     0.00   690.49     3.45     0.00   254.19   108.85     0.00     0.00     7.88     0.44     0.00     0.01     0.00     0.00     0.04     0.00     0.00     0.00     0.00     0.63    17.45     2.02     1.37     3.23    14.07     0.17     9.22    72.51     0.00     0.00     0.75
 202010020600     0.00     0.00     0.00   403.29    19.42     0.00     3.32     0.45     0.00     0.01     0.04     0.98     0.71     0.06     0.00    16.10     0.00     0.00     0.01   753.10     4.58     0.00   296.64   108.11     0.00     0.01     8.37     0.71     0.00     0.02     0.00     0.00     0.09     0.00     0.00     0.01     0.00     1.08    16.16     1.89     1.43     2.48     5.51     0.07    19.58    79.63     0.00     0.00     1.19
 202010020700     0.04     0.00     0.03   349.97    26.45     0.40     3.76     0.90     0.00     0.06     3.99     3.32     1.75     0.24     0.00    31.23     0.23     0.02     1.41   609.78     8.60     0.00   236.51    76.77     0.10     0.07    15.92     1.31     0.00     0.19     0.08     0.00     0.29     0.13     0.00     0.93     0.04     3.25    22.26     5.25     4.42     6.74     3.88     0.03    35.33    94.11     0.00     0.00     3.55
 202010020800     0.29     0.09     1.33   353.06    54.54     0.24     2.71     4.69     0.33     1.10     4.50     7.29     6.95     2.52     0.46    57.01     0.98     1.49     3.90   467.13    30.44     0.20   145.87    43.37     0.19     0.86    40.05     7.44     0.36     1.43     0.05     0.00     4.09     2.17     0.58     3.87     1.24     4.57    55.30    14.94     8.74    12.49     4.55     0.10    60.07   155.03     0.00     0.00    12.41
 202010020900     0.84     0.45     2.41   414.44    50.02     0.02     1.60    18.61     0.11     1.86     1.05     9.87    20.17     2.99     0.60    93.14     0.34     3.10     3.45   478.52    46.21     0.63    77.98    20.86     0.00     1.90    39.47    30.19     0.10     1.52     0.00     0.00     5.24    11.45     0.42     1.03     0.59     4.21    85.61    13.66     9.45    13.98     4.51     0.10    98.91   322.66     0.00     0.26    14.72
