 aaaammgghhpp  LAMACC   PICCAT 
 202010020000     0.00     0.00
 202010020100     0.07     0.00
 202010020200     0.78     0.13
 202010020300     4.58     1.18
 202010020400    48.13     1.04
 202010020500   313.24     1.60
 202010020600   470.69     1.87
 202010020700   399.83     1.60
 202010020800   289.37     6.08
 202010020900   181.47     9.14
 202010021000   125.49    13.52
 202010021100    84.99    14.76
 202010021200    59.08    16.99
 202010021300    47.81    19.31
 202010021400    43.89    23.69
 202010021500    48.31    34.83
 202010021600    72.50    42.11
 202010021700    61.29    40.49
 202010021800    57.59    45.00
 202010021900    64.38    44.83
 202010022000    61.88    41.98
 202010022100    58.99    34.84
 202010022200    61.55    33.55
 202010022300    58.95    34.75
 202010030000    55.25    31.67
 202010030100    52.97    30.20
 202010030200    51.65    31.84
 202010030300    61.16    35.45
 202010030400    99.32    44.42
 202010030500   149.62    73.56
 202010030600   158.48    63.73
 202010030700   182.64    75.39
 202010030800   189.92    80.28
 202010030900   174.28    74.52
 202010031000   148.39    65.73
 202010031100   119.15    50.60
 202010031200    93.99    40.62
 202010031300    73.52    32.02
 202010031400    60.45    27.01
 202010031500    53.46    24.62
 202010031600    49.79    23.24
 202010031700    47.86    22.54
 202010031800    46.81    22.11
 202010031900    45.96    21.76
 202010032000    45.26    21.92
 202010032100    45.46    25.09
 202010032200    48.44    29.74
 202010032300    48.77    36.11
 202010040000    46.45    32.20
 202010040100    44.47    26.72
 202010040200    42.78    23.51
 202010040300    41.50    21.92
 202010040400    40.46    20.86
 202010040500    40.32    21.09
 202010040600    41.71    20.97
 202010040700    41.07    20.78
 202010040800    40.12    21.05
 202010040900    38.78    20.24
 202010041000    37.47    20.22
 202010041100    36.94    23.09
 202010041200    41.04    26.81
 202010041300    51.96    29.66
 202010041400    46.78    24.53
 202010041500    43.40    21.63
 202010041600    45.79    22.38
 202010041700    57.61    28.41
 202010041800    57.44    36.26
 202010041900    58.00    42.13
 202010042000    55.15    43.01
 202010042100    53.47    40.65
 202010042200    50.18    33.81
 202010042300    49.48    28.00
 202010050000    43.23    23.58
 202010050100    21.86     9.01
 202010050200    11.24     3.68
 202010050300     5.15     1.67
 202010050400     2.00     0.47
 202010050500     0.73     0.05
 202010050600     0.22     0.00
 202010050700     0.05     0.00
 202010050800     0.00     0.00
 202010050900     0.00     0.00
