 aaaammgghhpp  AULSOL   NASCET   SCRMON 
 202010010000     0.00     0.00     0.00
 202010010100     0.00     0.00     0.00
 202010010200     0.00     0.00     0.00
 202010010300     0.05     0.02     0.00
 202010010400     0.06     0.12     0.11
 202010010500     0.07     0.19     0.26
 202010010600     0.07     0.29     0.79
 202010010700     0.07     0.44     1.41
 202010010800     0.08     0.63     1.90
 202010010900     0.08     0.72     2.28
 202010011000     0.08     0.80     2.75
 202010011100     0.09     0.90     3.19
 202010011200     0.08     1.03     3.56
 202010011300     0.11     1.21     4.00
 202010011400     0.12     1.30     4.34
 202010011500     0.13     1.33     4.50
 202010011600     0.13     1.39     4.73
 202010011700     0.13     1.41     4.89
 202010011800     0.13     1.50     4.92
 202010011900     0.12     1.76     5.07
 202010012000     0.13     2.12     8.12
 202010012100     0.13     2.95    13.80
 202010012200     0.13     4.43    21.05
 202010012300     0.46     4.89    39.69
 202010020000     3.02     5.56    49.17
 202010020100    11.10    12.89    56.28
 202010020200     7.43    26.36    60.39
 202010020300     4.74    41.24    56.39
 202010020400     4.23    68.50    45.17
 202010020500     4.11   176.66    34.81
 202010020600     3.27   466.29    30.00
 202010020700     2.67   560.90    37.95
 202010020800     2.43   452.65    67.87
 202010020900     2.37   335.89    97.71
 202010021000     2.44   232.88    92.36
 202010021100     2.21   173.25    70.26
 202010021200     2.13   129.12    53.27
 202010021300     2.11   102.34    39.10
 202010021400     2.06    89.57    30.81
 202010021500     2.04    85.68    25.16
 202010021600     2.10    92.92    25.39
 202010021700     2.27   114.72    36.63
 202010021800     2.29   100.10    43.57
 202010021900     2.18    91.96    34.91
 202010022000     2.05    98.12    28.57
 202010022100     2.00    93.68    25.15
 202010022200     2.05    88.41    22.59
 202010022300     2.07    90.26    22.15
 202010030000     2.03    86.09    21.19
 202010030100     2.00    80.82    21.26
 202010030200     2.07    78.52    30.42
 202010030300     2.20    80.14    62.27
 202010030400     3.10    98.44    77.60
 202010030500     8.29   147.01    60.24
 202010030600    12.96   173.22    36.13
 202010030700     3.27   113.49    20.67
 202010030800     0.90    64.52    12.18
 202010030900     0.53    33.62     5.89
 202010031000     0.44    15.94     2.10
 202010031100     0.14     5.37     0.47
 202010031200     0.00     1.89     0.00
 202010031300     0.00     0.23     0.00
 202010031400     0.00     0.00     0.00
 202010031500     0.00     0.00     0.00
