 aaaammgghhpp  ERRCAR   AVESAL   TREVAL   TANAPN 
 202009300000     0.00     0.00     0.00     0.00
 202009300100     0.00     0.00     0.00     0.00
 202009300200     0.00     0.00     0.00     0.00
 202009300300     0.00     0.00     0.00     0.00
 202009300400     0.00     0.03     0.06     0.00
 202009300500     0.00     0.44     0.74     0.00
 202009300600     0.02     1.47     1.80     0.00
 202009300700     0.01     3.34     3.25     0.00
 202009300800     0.02     5.47     5.75     0.00
 202009300900     0.03     7.49     7.82     0.00
 202009301000     0.03    10.02    10.52     0.00
 202009301100     0.03    12.25    13.07     0.00
 202009301200     0.03    13.99    15.28     0.00
 202009301300     0.03    15.59    17.14     0.00
 202009301400     0.03    16.56    18.87     0.00
 202009301500     0.03    17.40    20.33     0.00
 202009301600     0.02    18.12    21.18     0.00
 202009301700     0.02    18.85    21.93     0.00
 202009301800     0.02    19.57    22.54     0.00
 202009301900     0.02    19.98    23.16     0.00
 202009302000     0.02    20.28    23.81     0.00
 202009302100     0.02    20.62    24.38     0.00
 202009302200     0.02    20.89    24.81     0.00
 202009302300     0.02    21.06    25.12     0.00
 202010010000     0.01    21.09    25.27     0.00
 202010010100     0.01    21.13    25.27     0.00
 202010010200     0.01    21.21    25.36     0.00
 202010010300     0.01    21.30    25.34     0.00
 202010010400     0.01    21.31    25.34     0.00
 202010010500     0.01    21.24    25.31     0.00
 202010010600     0.01    21.11    25.23     0.00
 202010010700     0.01    20.97    25.23     0.00
 202010010800     0.01    20.85    25.09     0.00
 202010010900     0.00    20.69    24.89     0.00
 202010011000     0.00    20.50    24.76     0.00
 202010011100     0.00    20.35    24.55     0.00
 202010011200     0.00    20.19    24.43     0.00
 202010011300     0.00    20.01    24.24     0.00
 202010011400     0.00    19.79    24.04     0.00
 202010011500     0.00    19.57    23.79     0.00
 202010011600     0.00    19.36    23.54     0.00
 202010011700     0.00    19.18    23.31     0.00
 202010011800     0.00    18.97    23.08     0.00
 202010011900     0.00    18.75    22.85     0.00
 202010012000     0.00    19.82    23.11     0.00
 202010012100     0.00    29.77    30.21     0.00
 202010012200     0.00    63.67    61.96     0.00
 202010012300     0.00   110.39   114.16     0.00
 202010020000     0.00   109.82   173.46     0.00
 202010020100     0.00   126.56   209.99     0.00
 202010020200     0.00   144.20   226.21     0.00
 202010020300     0.00   195.21   262.66     0.00
 202010020400     0.00   334.02   291.03     0.00
 202010020500     0.00   509.45   284.32     0.00
 202010020600     0.00   555.37   239.84     0.00
 202010020700     0.00   484.91   201.58     0.00
 202010020800     0.03   427.17   237.62     0.00
 202010020900     0.76   446.71   381.33     0.00
 202010021000     1.20   500.01   540.05     0.00
 202010021100     0.87   506.20   589.24     0.00
 202010021200     0.68   406.74   484.19     0.03
 202010021300     0.65   282.88   371.20     0.02
 202010021400     0.39   194.13   289.28     0.08
 202010021500     0.28   145.68   217.51     0.04
 202010021600     0.28   116.64   168.80     2.38
 202010021700     0.33   100.17   140.91     8.97
 202010021800     0.67    91.55   133.13    43.69
 202010021900     0.78    84.94   130.53   135.50
 202010022000     2.04    81.59   128.32   304.46
 202010022100     4.94    79.48   127.68   481.14
 202010022200    10.14    76.42   128.61   513.48
 202010022300    14.64    69.88   101.59   418.66
 202010030000     9.74    46.28    61.72   208.93
 202010030100     5.77    25.21    32.23    88.54
 202010030200     3.80    13.20    17.65    38.77
 202010030300     3.13     5.40     8.44    15.62
 202010030400     1.76     2.27     4.11     7.62
 202010030500     0.71     0.46     2.35     3.15
 202010030600     0.59     0.16     1.27     0.20
 202010030700     0.08     0.01     0.41     0.00
 202010030800     0.00     0.00     0.34     0.00
 202010030900     0.00     0.00     0.04     0.00
 202010031000     0.00     0.00     0.00     0.00
 202010031100     0.00     0.00     0.00     0.00
 202010031200     0.00     0.00     0.00     0.00
