 aaaammgghhpp  AULE00   BOVARA   MAGR01   STUVIG   ARGCAP   GATTOR   LICTAV   BAGNON   PTEGLI   SCRI01   BRUDIG 
 202009300000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009300100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009300200     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009300300     0.00     0.00     0.08     0.00     0.00     0.00     0.00     0.00     0.00     0.04     0.00
 202009300400     0.06     0.00     0.14     0.00     0.00     0.00     0.00     0.00     0.00     0.05     0.00
 202009300500     0.09     0.00     0.20     0.04     0.00     0.00     0.00     0.00     0.00     0.58     0.05
 202009300600     0.12     0.05     0.21     0.06     0.00     0.01     0.00     0.00     0.00     1.43     0.20
 202009300700     0.11     0.12     0.21     0.09     0.00     0.07     0.00     0.00     0.00     2.84     0.48
 202009300800     0.14     0.15     0.21     0.26     0.00     0.09     0.00     0.00     0.01     4.08     0.68
 202009300900     0.14     0.23     0.22     0.40     0.00     0.09     0.01     0.00     0.01     5.04     0.90
 202009301000     0.14     0.40     0.22     0.48     0.00     0.13     0.01     0.00     0.01     6.38     1.22
 202009301100     0.14     0.48     0.22     0.54     0.00     0.17     0.01     0.00     0.01     7.95     1.32
 202009301200     0.15     0.61     0.23     0.59     0.00     0.22     0.01     0.00     0.01     8.92     1.45
 202009301300     0.17     0.74     0.24     0.65     0.00     0.23     0.01     0.00     0.01     9.52     1.66
 202009301400     0.17     0.79     0.24     0.80     0.00     0.23     0.00     0.00     0.01    10.18     1.87
 202009301500     0.18     0.80     0.24     0.88     0.00     0.26     0.00     0.00     0.01    10.79     2.02
 202009301600     0.18     0.91     0.24     0.99     0.00     0.30     0.00     0.00     0.01    11.06     2.07
 202009301700     0.18     1.03     0.27     1.07     0.00     0.33     0.00     0.00     0.01    11.43     2.17
 202009301800     0.19     1.18     0.29     1.10     0.00     0.37     0.00     0.00     0.01    11.69     2.24
 202009301900     0.19     1.35     0.29     1.14     0.00     0.37     0.00     0.00     0.01    11.87     2.30
 202009302000     0.19     1.36     0.29     1.17     0.00     0.41     0.00     0.00     0.01    12.05     2.31
 202009302100     0.18     1.39     0.29     1.17     0.00     0.41     0.00     0.00     0.01    12.26     2.37
 202009302200     0.17     1.42     0.29     1.22     0.00     0.41     0.00     0.00     0.00    12.40     2.39
 202009302300     0.17     1.51     0.29     1.29     0.00     0.43     0.00     0.00     0.00    12.49     2.38
 202010010000     0.16     1.51     0.28     1.36     0.00     0.44     0.00     0.00     0.01    12.51     2.40
 202010010100     0.16     1.57     0.28     1.41     0.00     0.46     0.00     0.00     0.03    12.55     2.46
 202010010200     0.15     1.63     0.28     1.41     0.00     0.46     0.00     0.00     0.05    12.57     2.46
 202010010300     0.15     1.69     0.31     1.41     0.00     0.45     0.00     0.00     0.05    12.70     2.48
 202010010400     0.14     1.79     0.31     1.41     0.00     0.45     0.00     0.00     0.05    12.74     2.47
 202010010500     0.15     1.86     0.31     1.41     0.00     0.44     0.00     0.00     0.05    12.68     2.45
 202010010600     0.15     1.96     0.31     1.44     0.00     0.44     0.00     0.00     0.05    12.61     2.43
 202010010700     0.15     2.01     0.31     1.45     0.00     0.44     0.00     0.00     0.05    12.53     2.41
 202010010800     0.15     2.03     0.30     1.45     0.00     0.45     0.00     0.00     0.05    12.49     2.39
 202010010900     0.14     2.02     0.31     1.49     0.00     0.44     0.00     0.00     0.05    12.42     2.38
 202010011000     0.14     2.05     0.34     1.49     0.00     0.44     0.00     0.00     0.05    12.31     2.35
 202010011100     0.13     2.08     0.36     1.49     0.00     0.46     0.00     0.00     0.05    12.22     2.32
 202010011200     0.13     2.14     0.33     1.49     0.00     0.47     0.00     0.00     0.05    12.09     2.30
 202010011300     0.12     2.18     0.32     1.48     0.00     0.46     0.00     0.00     0.05    11.97     2.28
 202010011400     0.12     2.19     0.34     1.51     0.00     0.46     0.00     0.00     0.05    11.85     2.27
 202010011500     0.11     2.19     0.34     1.51     0.00     0.46     0.00     0.00     0.05    11.74     2.27
 202010011600     0.12     2.24     0.34     1.50     0.00     0.46     0.00     0.00     0.04    11.63     2.24
 202010011700     0.11     2.25     0.34     1.48     0.00     0.48     0.00     0.00     0.04    11.50     2.22
 202010011800     0.11     2.31     0.35     1.67     0.00     0.51     0.00     0.00     0.04    11.38     2.20
 202010011900     0.11     2.39     0.37     2.35     0.00     0.71     0.00     0.00     0.04    11.30     2.18
 202010012000     0.11     2.58     0.54     3.36     0.00     1.48     0.00     0.00     0.04    14.01     3.25
 202010012100     0.11     3.17     0.68     7.33     0.00     2.25     0.00     0.00     0.04    29.68     8.94
 202010012200     0.14     5.21     1.20    14.80     0.00     2.38     0.00     0.00     0.11    37.26    19.80
 202010012300     0.57     8.88     1.36    18.20     0.00     4.08     0.03     0.00     0.13    64.13    38.47
 202010020000     1.15     8.76     1.81    16.64     0.00     4.59     0.41     0.00     0.29    88.90    53.04
 202010020100     4.63    10.56     2.18    19.99     0.00     9.31     1.20     0.00     0.21    95.99    50.41
 202010020200    11.15    23.67     4.52    23.11     0.00    15.92     1.80     0.00     0.29    99.67    40.34
 202010020300     6.41    36.27     5.26    14.55     0.00     5.60     1.34     0.00     0.60    66.28    21.35
 202010020400     3.77    23.17     1.32     5.95     0.00     2.14     0.65     0.00     0.46    33.08     9.49
 202010020500     0.98     8.20     1.15     1.92     0.00     0.83     0.17     0.00     0.01    16.43     2.28
 202010020600     0.67     4.36     0.34     0.43     0.00     0.00     0.00     0.00     0.00     7.04     0.34
 202010020700     0.37     2.76     0.07     0.11     0.00     0.00     0.00     0.00     0.00     2.36     0.10
 202010020800     0.12     1.35     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.83     0.00
 202010020900     0.03     0.56     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.13     0.00
 202010021000     0.00     0.27     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010021100     0.00     0.04     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010021200     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010021300     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010021400     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010021500     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010021600     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
