 aaaammgghhpp  ERRCAR   AVESAL   TREVAL   TANAPN 
 202010020000     0.00     0.00     0.00     0.00
 202010020100     0.00     0.00     0.00     0.00
 202010020200     0.00     4.32     1.62     0.00
 202010020300     0.00    36.61    15.23     0.00
 202010020400     0.00   157.20    45.05     0.00
 202010020500     0.00   344.64    85.04     0.00
 202010020600     0.01   426.87   102.89     0.00
 202010020700     0.01   397.68   115.42     0.00
 202010020800     0.06   382.86   180.14     0.00
 202010020900     1.10   436.14   339.60     0.00
 202010021000     1.86   504.05   513.37     0.00
 202010021100     1.50   515.97   579.98     0.00
 202010021200     0.80   418.18   479.84     0.03
 202010021300     0.71   292.92   371.15     0.03
 202010021400     0.56   201.23   290.60     0.10
 202010021500     0.45   149.10   218.18     0.06
 202010021600     0.34   118.22   169.61     2.58
 202010021700     0.32   100.58   142.46     9.37
 202010021800     0.65    91.89   134.30    45.96
 202010021900     0.76    85.32   131.43   137.69
 202010022000     2.11    81.92   129.28   304.41
 202010022100     4.68    79.75   128.60   479.08
 202010022200     9.51    80.35   133.93   532.42
 202010022300    17.79    85.89   135.56   645.59
 202010030000    25.02    84.97   129.05   751.38
 202010030100    37.97    80.56   118.94   644.86
 202010030200    64.48    80.74   116.00   390.92
 202010030300    87.70    95.03   145.53   218.34
 202010030400    98.57   140.40   237.30   156.28
 202010030500    88.81   214.13   344.98   151.49
 202010030600    74.96   275.41   373.00   129.43
 202010030700    66.92   302.39   361.62    86.96
 202010030800    61.42   320.52   371.70    60.95
 202010030900    52.73   325.99   369.52    47.68
 202010031000    47.16   303.81   339.29    41.69
 202010031100    44.64   269.29   286.64    39.23
 202010031200    42.93   213.52   219.34    37.50
 202010031300    41.97   152.93   157.80    36.32
 202010031400    40.97   111.49   116.29    35.59
 202010031500    40.24    85.18    93.11    34.94
 202010031600    39.69    71.70    81.99    34.30
 202010031700    39.06    65.92    76.59    33.68
 202010031800    38.49    62.81    72.60    33.06
 202010031900    37.92    61.20    69.50    32.46
 202010032000    37.37    60.15    67.66    31.90
 202010032100    36.84    59.79    66.84    31.63
 202010032200    36.26    59.98    66.20    31.04
 202010032300    35.66    60.89    65.83    30.30
 202010040000    35.06    59.98    64.98    29.68
 202010040100    34.50    58.29    64.16    29.12
 202010040200    33.97    57.49    62.52    28.58
 202010040300    33.41    57.08    60.97    28.06
 202010040400    31.73    53.45    57.34    25.96
 202010040500    25.14    45.72    44.31    13.68
 202010040600    16.77    28.43    27.70     3.85
 202010040700    10.73    14.43    13.44     1.61
 202010040800     6.55     7.19     7.69     0.58
 202010040900     4.21     2.98     4.01     0.22
 202010041000     2.46     1.06     2.16     0.07
 202010041100     1.40     0.10     1.40     0.00
 202010041200     0.85     0.03     0.77     0.00
 202010041300     0.42     0.00     0.32     0.00
 202010041400     0.21     0.00     0.28     0.00
 202010041500     0.09     0.00     0.01     0.00
 202010041600     0.05     0.00     0.00     0.00
 202010041700     0.03     0.00     0.00     0.00
 202010041800     0.00     0.00     0.00     0.00
