 aaaammgghhpp  AULE00   BOVARA   MAGR01   STUVIG   ARGCAP   GATTOR   LICTAV   BAGNON   PTEGLI   SCRI01   BRUDIG 
 202010041900    59.74    98.76    55.37    16.61     2.16     9.78    16.81     1.64     7.75    41.50     6.26
 202010042000    50.10    75.26    24.38     7.13     0.47     2.99     3.15     0.81     3.51    19.57     2.77
 202010042100    20.30    40.00    10.37     2.71     0.07     0.32     1.15     0.37     1.11     8.59     0.48
 202010042200     9.60    20.12     3.53     0.75     0.00     0.00     0.17     0.26     0.28     3.60     0.06
 202010042300     4.35     9.53     0.83     0.27     0.00     0.00     0.06     0.07     0.05     1.43     0.00
 202010050000     2.50     3.96     0.16     0.13     0.00     0.00     0.00     0.00     0.00     0.32     0.00
 202010050100     1.81     1.52     0.04     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010050200     1.19     0.53     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010050300     1.06     0.16     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010050400     0.70     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010050500     0.56     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010050600     0.35     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010050700     0.07     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010050800     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
