 aaaammgghhpp  ARGE00   ARME00   ARRE00   AVET00   BOAT00   CARA00   CAST00   CERU00   CERV00   ERRO00   IMPE00   LEIR00   LERO00   LETI00   MARE00   MERETA   MERU00   MOLIBR   NERV00   PANESI   POLC00   PORA00   POSARA   POSLEV   PRIN00   QUIL00   RECC00   ROSSIG   SCIU00   SEGN00   SLOR00   TANA00   TEIR00   TIGLIE   VARA00   VCRO00   SANS00   CHIA00   BISA00   STRL00   NRVI00   SORI00   RUPI00   GHIA00   AMEF00   TREB00   CRIXIA   CENGIO   VARPEG 
 202009301400     0.00     0.00     0.02    15.15     1.79     0.00     0.00     1.55     0.00     0.03     0.00     2.56     2.09     0.08     0.00    25.76     0.00     0.00     0.00     9.41     6.73     0.00     0.48     0.61     0.00     0.01     1.44     2.34     0.00     0.02     0.00     0.00     0.06     0.21     0.00     0.00     0.00     1.11     5.19     0.72     0.51     0.49     0.11     0.00     2.36    14.92     0.00     0.00     2.27
 202009301500     0.00     0.00     0.02    15.88     1.88     0.00     0.00     1.64     0.00     0.02     0.00     2.64     2.13     0.09     0.00    27.14     0.00     0.00     0.00    10.06     7.00     0.00     0.52     0.65     0.00     0.01     1.54     2.56     0.00     0.02     0.00     0.00     0.06     0.31     0.00     0.00     0.00     1.11     5.37     0.79     0.54     0.55     0.11     0.00     2.46    15.93     0.00     0.00     2.40
 202009301600     0.00     0.00     0.03    16.54     1.97     0.00     0.00     1.71     0.00     0.02     0.00     2.69     2.12     0.09     0.00    28.10     0.00     0.00     0.00    10.65     7.23     0.00     0.60     0.67     0.00     0.01     1.53     2.69     0.00     0.02     0.00     0.00     0.07     0.37     0.00     0.00     0.01     1.12     5.52     0.78     0.54     0.63     0.11     0.00     2.56    16.55     0.00     0.00     2.43
 202009301700     0.00     0.00     0.04    17.25     2.10     0.00     0.00     1.79     0.00     0.02     0.00     2.72     2.15     0.09     0.00    28.97     0.00     0.00     0.00    11.19     7.45     0.00     0.63     0.71     0.00     0.01     1.52     2.78     0.00     0.02     0.00     0.00     0.06     0.39     0.00     0.00     0.01     1.13     5.73     0.85     0.53     0.64     0.11     0.00     2.70    17.16     0.00     0.00     2.42
 202009301800     0.00     0.00     0.04    17.80     2.19     0.00     0.00     1.81     0.00     0.02     0.00     2.70     2.19     0.09     0.00    29.77     0.00     0.00     0.00    11.69     7.72     0.00     0.67     0.82     0.00     0.01     1.54     2.87     0.00     0.02     0.00     0.00     0.06     0.42     0.00     0.00     0.01     1.17     5.95     0.88     0.52     0.67     0.11     0.00     2.76    17.70     0.00     0.00     2.43
 202009301900     0.00     0.00     0.06    18.03     2.22     0.00     0.00     1.92     0.00     0.02     0.00     2.71     2.18     0.09     0.00    30.46     0.00     0.00     0.00    12.37     7.91     0.00     0.73     0.89     0.00     0.01     1.56     2.98     0.00     0.01     0.00     0.00     0.08     0.43     0.00     0.00     0.01     1.19     6.08     0.89     0.51     0.68     0.11     0.00     2.77    18.32     0.00     0.00     2.45
 202009302000     0.00     0.00     0.06    18.31     2.25     0.00     0.00     1.97     0.00     0.02     0.00     2.70     2.17     0.09     0.00    30.98     0.00     0.00     0.00    12.71     8.18     0.00     0.77     0.92     0.00     0.01     1.55     3.09     0.00     0.01     0.00     0.00     0.08     0.43     0.00     0.00     0.01     1.20     6.15     0.89     0.51     0.69     0.11     0.00     2.89    18.76     0.00     0.00     2.45
 202009302100     0.00     0.00     0.06    18.62     2.26     0.00     0.00     1.98     0.00     0.02     0.00     2.71     2.22     0.08     0.00    31.17     0.00     0.00     0.00    12.90     8.43     0.00     0.85     0.92     0.00     0.01     1.54     3.26     0.00     0.01     0.00     0.00     0.09     0.43     0.00     0.00     0.01     1.24     6.15     0.92     0.50     0.69     0.11     0.00     2.98    19.08     0.00     0.00     2.44
 202009302200     0.00     0.00     0.06    18.87     2.30     0.00     0.00     1.98     0.00     0.02     0.00     2.75     2.24     0.08     0.00    31.43     0.00     0.00     0.00    13.17     8.61     0.00     0.88     0.93     0.00     0.01     1.52     3.48     0.00     0.01     0.00     0.00     0.11     0.49     0.00     0.00     0.01     1.27     6.16     0.96     0.49     0.71     0.11     0.00     3.20    19.33     0.00     0.00     2.42
 202009302300     0.00     0.00     0.06    18.90     2.29     0.00     0.00     1.98     0.00     0.01     0.00     2.74     2.24     0.08     0.00    31.68     0.00     0.00     0.00    13.39     8.82     0.00     0.87     0.94     0.00     0.01     1.50     3.55     0.00     0.01     0.00     0.00     0.11     0.49     0.00     0.00     0.01     1.26     6.26     0.96     0.48     0.70     0.11     0.00     3.35    19.50     0.00     0.00     2.40
 202010010000     0.00     0.00     0.06    18.97     2.30     0.00     0.00     1.99     0.00     0.01     0.00     2.71     2.22     0.08     0.00    31.79     0.00     0.00     0.00    13.57     8.88     0.00     0.90     0.93     0.00     0.01     1.53     3.62     0.00     0.01     0.00     0.00     0.11     0.51     0.00     0.00     0.01     1.24     6.33     0.98     0.48     0.69     0.11     0.00     3.35    19.57     0.00     0.00     2.38
 202010010100     0.00     0.00     0.06    19.02     2.29     0.00     0.00     1.98     0.00     0.01     0.00     2.67     2.20     0.07     0.00    31.72     0.00     0.00     0.00    13.66     9.02     0.00     0.91     0.93     0.00     0.01     1.57     3.66     0.00     0.01     0.00     0.00     0.13     0.51     0.00     0.00     0.01     1.22     6.41     0.97     0.48     0.69     0.11     0.00     3.38    19.65     0.00     0.00     2.36
 202010010200     0.00     0.00     0.06    19.13     2.28     0.00     0.00     2.01     0.00     0.01     0.00     2.65     2.18     0.07     0.00    31.60     0.00     0.00     0.00    13.90     9.16     0.00     0.94     0.95     0.00     0.01     1.57     3.68     0.00     0.01     0.00     0.00     0.13     0.51     0.00     0.00     0.01     1.21     6.42     0.96     0.47     0.68     0.11     0.00     3.41    19.68     0.00     0.00     2.34
 202010010300     0.00     0.00     0.06    19.17     2.26     0.00     0.00     2.01     0.00     0.01     0.00     2.68     2.15     0.07     0.00    31.60     0.00     0.00     0.00    14.00     9.19     0.00     0.96     1.01     0.00     0.01     1.58     3.72     0.00     0.01     0.00     0.00     0.15     0.53     0.00     0.00     0.01     1.22     6.40     0.95     0.46     0.67     0.10     0.00     3.53    19.77     0.00     0.00     2.30
 202010010400     0.00     0.00     0.06    19.20     2.24     0.00     0.00     2.02     0.00     0.01     0.00     2.69     2.12     0.07     0.00    31.49     0.00     0.00     0.00    14.04     9.33     0.00     0.98     1.00     0.00     0.01     1.58     3.73     0.00     0.01     0.00     0.00     0.16     0.53     0.00     0.00     0.01     1.20     6.42     0.95     0.45     0.67     0.10     0.00     3.53    19.77     0.00     0.00     2.27
 202010010500     0.00     0.00     0.07    19.07     2.26     0.00     0.00     2.04     0.00     0.01     0.00     2.66     2.09     0.07     0.00    31.48     0.00     0.00     0.00    14.08     9.38     0.00     0.99     1.03     0.00     0.01     1.57     3.79     0.00     0.01     0.00     0.00     0.18     0.54     0.00     0.00     0.01     1.19     6.48     0.95     0.44     0.66     0.10     0.00     3.59    19.71     0.00     0.00     2.24
 202010010600     0.00     0.00     0.07    18.94     2.26     0.00     0.00     2.02     0.00     0.01     0.00     2.63     2.07     0.06     0.00    31.33     0.00     0.00     0.00    14.10     9.38     0.00     1.00     1.03     0.00     0.01     1.60     3.81     0.00     0.01     0.00     0.00     0.18     0.56     0.00     0.00     0.01     1.17     6.46     0.94     0.44     0.64     0.10     0.00     3.65    19.67     0.00     0.00     2.21
 202010010700     0.00     0.00     0.07    18.82     2.25     0.00     0.00     1.99     0.00     0.01     0.00     2.60     2.06     0.06     0.00    31.11     0.00     0.00     0.00    14.29     9.42     0.00     1.03     1.02     0.00     0.01     1.60     3.83     0.00     0.01     0.00     0.00     0.18     0.57     0.00     0.00     0.01     1.16     6.46     0.93     0.43     0.63     0.10     0.00     3.72    19.61     0.00     0.00     2.17
