 aaaammgghhpp  FERRAN   ARGE01   CALAMA   LAPRES   NERVBU   PBATTO   STUR00   IMPTRE   ARRO01   PENNEV   ACQULE   SECCPO   PONTEX   LAVA01   TREB01   SCRBUS   CARCAR 
 202010011700     0.00     0.00     0.78     2.62     0.00     2.54     2.39     0.00     0.00     0.00     1.43     2.72     4.68     3.37     5.85    16.10     0.00
 202010011800     0.00     0.00     0.77     2.59     0.00     2.56     2.96     0.00     0.00     0.00     1.41     2.72     4.68     4.03     5.80    15.93     0.00
 202010011900     0.00     0.00     0.76     2.77     0.00     2.63     3.83     0.00     0.00     0.00     1.39     3.14     4.70     6.05     5.78    15.77     0.00
 202010012000     0.00     0.00     0.76     4.67     0.00     2.68     5.34     0.00     0.00     0.00     1.38     5.60     5.11     9.06    10.57    17.24     0.00
 202010012100     0.00     0.00     1.06     5.47     0.00     2.77     8.71     0.00     0.00     0.00     1.38    10.02     7.40    14.98    17.38    26.64     0.00
 202010012200     0.00     0.00     2.58     9.97     0.00     3.41    14.54     0.00     0.00     0.00     1.37    11.53    14.97    19.13    30.57    48.40     0.00
 202010012300     0.00     0.00     5.17    12.01     0.00     5.29    24.94     0.00     0.00     0.00     1.35    10.98    11.40    16.85    55.00    55.50     0.00
 202010020000     0.00     0.00     8.68    12.67     0.01     9.01    20.74     0.00     0.00     0.00     1.44    11.37    11.18    22.30    78.96    83.03     0.00
 202010020100     0.00     0.00    11.27    23.22     0.03    11.97    27.30     0.00     0.00     0.00     1.63    13.33    14.99    32.14    86.30   108.02     0.00
 202010020200     0.00     0.00    23.90    35.78     0.03    15.54    42.83     0.00     0.00     0.00     1.69    14.73    17.80    58.14    97.79   115.87     0.00
 202010020300     0.00     0.00    27.36    26.13     0.01    23.21   121.49     0.00     0.00     0.00     0.76     9.55    13.29   144.35    84.94   116.12     0.00
 202010020400     0.00     0.00    29.54    11.11     0.00    40.97   161.54     0.00     0.00     0.00     0.15     4.00     4.06   194.51    45.87   100.83     0.00
 202010020500     0.00     0.00    27.95     3.04     0.00    58.50   115.96     0.00     0.00     0.00     0.06     2.62     1.46   119.23    28.22    66.89     0.00
 202010020600     0.00     0.00    22.36     0.74     0.00    58.41    66.43     0.00     0.00     0.00     0.00     1.17     0.45    55.92    13.03    35.41     0.00
 202010020700     0.00     0.00    10.30     0.00     0.00    36.56    29.12     0.00     0.00     0.00     0.00     0.48     0.12    13.29     5.41    16.75     0.00
 202010020800     0.00     0.00     5.71     0.00     0.00    16.56     8.72     0.00     0.00     0.00     0.00     0.10     0.02     2.95     3.05     6.63     0.00
 202010020900     0.00     0.00     2.10     0.00     0.00     8.34     3.58     0.00     0.00     0.00     0.00     0.02     0.00     0.07     1.77     2.52     0.00
 202010021000     0.00     0.00     0.65     0.00     0.00     5.51     0.90     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.61     1.06     0.00
 202010021100     0.00     0.00     0.27     0.00     0.00     2.46     0.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.20     0.33     0.00
 202010021200     0.00     0.00     0.00     0.00     0.00     1.41     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.07     0.00     0.00
 202010021300     0.00     0.00     0.00     0.00     0.00     0.36     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010021400     0.00     0.00     0.00     0.00     0.00     0.14     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010021500     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010021600     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010021700     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010021800     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
