 aaaammgghhpp  ARGEME   ARMVAL   AVECAB   CAIROM   CAMINA   CARASC   FORNOL   IMPERU   MOLINE   MURIAL   DOLCEA   NEVCIS   PORTOV   SANTUA   VOBBIE   QUAZQU   BOLSTE   POLCAM   BISMOL   ROVEGN   SCRISO   CAMPST   OSIGLT   PPOGGI 
 202202090500     0.00     0.00     5.26     0.00     1.90    19.24    81.19     0.00     1.59     0.00     0.02     0.00     0.00     0.00     7.05     0.00     0.00     4.17     6.38    13.21    23.65     6.85     0.00     0.15
 202202090600     0.00     0.00     5.27     0.00     1.88    19.28    82.02     0.00     1.59     0.00     0.02     0.00     0.00     0.00     6.95     0.00     0.00     4.13     6.32    13.22    23.46     6.78     0.00     0.15
 202202090700     0.00     0.00     5.26     0.00     1.87    19.37    82.66     0.00     1.59     0.00     0.02     0.00     0.00     0.00     6.84     0.00     0.00     4.11     6.26    13.17    23.28     6.68     0.00     0.15
 202202090800     0.00     0.00     5.30     0.00     1.87    19.47    83.09     0.00     1.57     0.00     0.02     0.00     0.00     0.00     6.76     0.00     0.00     4.11     6.20    13.09    23.07     6.60     0.00     0.15
 202202090900     0.00     0.00     5.32     0.00     1.86    19.45    83.52     0.00     1.56     0.00     0.02     0.00     0.00     0.00     6.67     0.00     0.00     4.14     6.13    12.96    22.85     6.54     0.00     0.15
 202202091000     0.00     0.00     5.32     0.00     1.85    19.49    84.17     0.00     1.57     0.00     0.02     0.00     0.00     0.00     6.58     0.00     0.00     4.18     6.07    12.89    22.63     6.45     0.00     0.15
 202202091100     0.00     0.00     5.33     0.00     1.86    19.48    84.75     0.00     1.57     0.00     0.01     0.00     0.00     0.00     6.48     0.00     0.00     4.18     6.02    12.81    22.39     6.37     0.00     0.14
 202202091200     0.00     0.00     5.30     0.00     1.84    19.57    85.23     0.00     1.57     0.00     0.01     0.00     0.00     0.00     6.38     0.00     0.00     4.17     5.96    12.73    22.14     6.29     0.00     0.14
 202202091300     0.00     0.00     5.25     0.00     1.84    19.68    85.54     0.00     1.55     0.00     0.01     0.00     0.00     0.00     6.29     0.00     0.00     4.14     5.88    12.64    21.91     6.20     0.00     0.14
 202202091400     0.00     0.00     5.23     0.00     1.85    19.76    85.72     0.00     1.55     0.00     0.01     0.00     0.00     0.00     6.19     0.00     0.00     4.14     5.82    12.55    21.66     6.10     0.00     0.14
 202202091500     0.00     0.00     5.18     0.00     1.85    19.77    85.84     0.00     1.54     0.00     0.01     0.00     0.00     0.00     6.10     0.00     0.00     4.15     5.75    12.43    21.39     6.03     0.00     0.15
 202202091600     0.00     0.00     5.18     0.00     1.83    19.76    85.83     0.00     1.53     0.00     0.01     0.00     0.00     0.00     6.01     0.00     0.00     4.15     5.68    12.32    21.14     5.95     0.00     0.15
 202202091700     0.00     0.00     5.13     0.00     1.83    19.65    85.82     0.00     1.51     0.00     0.01     0.00     0.00     0.00     5.92     0.00     0.00     4.20     5.61    12.24    20.87     5.86     0.00     0.15
 202202091800     0.00     0.00     5.08     0.00     1.81    19.55    85.63     0.00     1.50     0.00     0.01     0.00     0.00     0.00     5.83     0.00     0.00     4.24     5.55    12.16    20.60     5.78     0.00     0.14
 202202091900     0.00     0.00     5.03     0.00     1.80    19.47    85.43     0.00     1.48     0.00     0.01     0.00     0.00     0.00     5.74     0.00     0.00     4.23     5.49    12.05    20.35     5.70     0.00     0.14
 202202092000     0.00     0.00     4.98     0.00     1.80    19.42    85.36     0.00     1.46     0.00     0.01     0.00     0.00     0.00     5.66     0.00     0.00     4.22     5.42    11.92    20.11     5.63     0.00     0.14
 202202092100     0.00     0.00     4.93     0.00     1.79    19.30    85.23     0.00     1.46     0.00     0.01     0.00     0.00     0.00     5.58     0.00     0.00     4.19     5.36    11.81    19.86     5.56     0.00     0.14
 202202092200     0.00     0.00     4.89     0.00     1.79    19.23    84.99     0.00     1.45     0.00     0.01     0.00     0.00     0.00     5.50     0.00     0.00     4.19     5.31    11.68    19.62     5.47     0.00     0.13
 202202092300     0.00     0.00     4.83     0.00     1.77    19.16    84.58     0.00     1.43     0.00     0.01     0.00     0.00     0.00     5.42     0.00     0.00     4.21     5.25    11.56    19.40     5.39     0.00     0.13
 202202100000     0.00     0.00     4.78     0.00     1.75    19.13    84.21     0.00     1.41     0.00     0.01     0.00     0.00     0.00     5.34     0.00     0.00     4.19     5.19    11.44    19.17     5.33     0.00     0.13
 202202100100     0.00     0.00     4.74     0.00     1.74    19.07    83.93     0.00     1.39     0.00     0.01     0.00     0.00     0.00     5.26     0.00     0.00     4.20     5.13    11.32    18.94     5.27     0.00     0.13
 202202100200     0.00     0.00     4.69     0.00     1.74    19.00    83.63     0.00     1.37     0.00     0.01     0.00     0.00     0.00     5.18     0.00     0.00     4.18     5.07    11.19    18.72     5.21     0.00     0.12
 202202100300     0.00     0.00     4.64     0.00     1.74    18.93    83.07     0.00     1.36     0.00     0.01     0.00     0.00     0.00     5.11     0.00     0.00     4.18     5.01    11.07    18.49     5.14     0.00     0.12
 202202100400     0.00     0.00     4.60     0.00     1.78    18.87    82.65     0.00     1.34     0.00     0.01     0.00     0.00     0.00     5.04     0.00     0.00     4.17     4.95    10.96    18.29     5.06     0.00     0.12
 202202100500     0.00     0.00     4.55     0.00     1.77    18.77    82.27     0.00     1.33     0.00     0.01     0.00     0.00     0.00     4.97     0.00     0.00     4.19     4.89    10.84    18.08     4.99     0.00     0.11
 202202100600     0.00     0.00     4.50     0.00     1.75    18.72    81.99     0.00     1.31     0.00     0.01     0.00     0.00     0.00     4.90     0.00     0.00     4.20     4.83    10.72    17.88     4.92     0.00     0.11
 202202100700     0.00     0.00     4.46     0.00     1.75    18.63    81.67     0.00     1.29     0.00     0.01     0.00     0.00     0.00     4.83     0.00     0.00     4.19     4.77    10.59    17.67     4.85     0.00     0.11
 202202100800     0.00     0.00     4.41     0.00     1.73    18.50    81.39     0.00     1.28     0.00     0.01     0.00     0.00     0.00     4.76     0.00     0.00     4.16     4.71    10.47    17.46     4.79     0.00     0.11
 202202100900     0.00     0.00     4.37     0.00     1.73    18.34    81.05     0.00     1.26     0.00     0.01     0.00     0.00     0.00     4.69     0.00     0.00     4.12     4.65    10.35    17.24     4.72     0.00     0.10
 202202101000     0.00     0.00     4.32     0.00     1.72    18.20    80.58     0.00     1.25     0.00     0.01     0.00     0.00     0.00     4.63     0.00     0.00     4.14     4.60    10.24    17.03     4.66     0.00     0.10
 202202101100     0.00     0.00     4.28     0.00     1.71    18.08    80.09     0.00     1.23     0.00     0.01     0.00     0.00     0.00     4.56     0.00     0.00     4.17     4.54    10.12    16.82     4.59     0.00     0.10
 202202101200     0.00     0.00     4.23     0.00     1.70    17.96    79.66     0.00     1.21     0.00     0.01     0.00     0.00     0.00     4.50     0.00     0.00     4.16     4.49    10.01    16.62     4.53     0.00     0.10
 202202101300     0.00     0.00     4.19     0.00     1.70    17.83    79.21     0.00     1.20     0.00     0.01     0.00     0.00     0.00     4.44     0.00     0.00     4.15     4.43     9.90    16.42     4.46     0.00     0.09
 202202101400     0.00     0.00     4.15     0.00     1.69    17.69    78.79     0.00     1.19     0.00     0.01     0.00     0.00     0.00     4.38     0.00     0.00     4.14     4.38     9.79    16.22     4.40     0.00     0.09
 202202101500     0.00     0.00     4.10     0.00     1.68    17.56    78.31     0.00     1.18     0.00     0.01     0.00     0.00     0.00     4.31     0.00     0.00     4.12     4.33     9.68    16.02     4.34     0.00     0.09
 202202101600     0.00     0.00     4.06     0.00     1.67    17.42    77.81     0.00     1.17     0.00     0.01     0.00     0.00     0.00     4.25     0.00     0.00     4.11     4.28     9.59    15.83     4.28     0.00     0.09
 202202101700     0.00     0.00     4.01     0.00     1.66    17.27    77.25     0.00     1.15     0.00     0.01     0.00     0.00     0.00     4.19     0.00     0.00     4.09     4.23     9.48    15.63     4.22     0.00     0.09
 202202101800     0.00     0.00     3.97     0.00     1.65    17.12    76.71     0.00     1.14     0.00     0.01     0.00     0.00     0.00     4.13     0.00     0.00     4.06     4.18     9.38    15.44     4.17     0.00     0.08
 202202101900     0.00     0.00     3.93     0.00     1.63    16.98    76.23     0.00     1.13     0.00     0.01     0.00     0.00     0.00     4.08     0.00     0.00     4.05     4.13     9.28    15.26     4.12     0.00     0.08
 202202102000     0.00     0.00     3.08     0.00     1.48    16.63    75.12     0.00     0.55     0.00     0.01     0.00     0.00     0.00     3.47     0.00     0.00     3.83     3.67     8.16    14.33     3.19     0.00     0.08
 202202102100     0.00     0.00     0.78     0.00     0.14    11.74    70.60     0.00     0.07     0.00     0.00     0.00     0.00     0.00     0.79     0.00     0.00     1.54     0.65     2.43    11.92     0.71     0.00     0.04
 202202102200     0.00     0.00     0.42     0.00     0.03     3.62    60.07     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.15     0.00     0.00     0.27     0.10     1.24     9.07     0.26     0.00     0.01
 202202102300     0.00     0.00     0.14     0.00     0.00     0.58    46.14     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.00     0.00     0.06     0.00     0.62     3.81     0.08     0.00     0.00
 202202110000     0.00     0.00     0.00     0.00     0.00     0.07    28.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.39     1.07     0.04     0.00     0.00
 202202110100     0.00     0.00     0.00     0.00     0.00     0.00    13.27     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.22     0.44     0.03     0.00     0.00
 202202110200     0.00     0.00     0.00     0.00     0.00     0.00     4.25     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.08     0.21     0.00     0.00     0.00
 202202110300     0.00     0.00     0.00     0.00     0.00     0.00     1.56     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.07     0.00     0.00     0.00
 202202110400     0.00     0.00     0.00     0.00     0.00     0.00     0.65     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202110500     0.00     0.00     0.00     0.00     0.00     0.00     0.32     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202110600     0.00     0.00     0.00     0.00     0.00     0.00     0.21     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202110700     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202110800     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202110900     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202111000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202111100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202202111200     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
