 aaaammgghhpp  FERRAN   ARGE01   CALAMA   LAPRES   NERV01   PBATTO   STUR00   IMPTRE   ARRO01   PENNEV   ACQULE   SECCPO   PONTEX   LAVA01   TREB01   SCRBUS   CARCAR   STSGIU 
 202202091500     0.00     0.00    31.19     3.65     0.01    48.12     8.73     0.00     0.00     0.00     0.98     1.03     2.19    11.04     4.51    16.62     0.00     0.13
 202202091600     0.00     0.00    31.36     3.60     0.01    47.87     8.69     0.00     0.00     0.00     0.97     1.11     2.19    11.03     4.48    16.41     0.00     0.13
 202202091700     0.00     0.00    31.56     3.56     0.01    47.58     8.65     0.00     0.00     0.00     0.96     1.14     2.20    11.00     4.48    16.20     0.00     0.13
 202202091800     0.00     0.00    31.80     3.51     0.01    47.31     8.62     0.00     0.00     0.00     0.95     1.14     2.18    10.91     4.46    16.01     0.00     0.13
 202202091900     0.00     0.00    32.03     3.47     0.01    47.02     8.59     0.00     0.00     0.00     0.94     1.14     2.19    10.86     4.42    15.82     0.00     0.12
 202202092000     0.00     0.00    32.23     3.43     0.01    46.75     8.58     0.00     0.00     0.00     0.93     1.14     2.19    10.82     4.37    15.62     0.00     0.12
 202202092100     0.00     0.00    32.42     3.38     0.01    46.38     8.53     0.00     0.00     0.00     0.93     1.14     2.18    10.75     4.36    15.46     0.00     0.12
 202202092200     0.00     0.00    32.47     3.33     0.01    45.98     8.51     0.00     0.00     0.00     0.93     1.16     2.16    10.67     4.32    15.27     0.00     0.12
 202202092300     0.00     0.00    32.50     3.29     0.01    45.64     8.54     0.00     0.00     0.00     0.92     1.20     2.14    10.64     4.28    15.08     0.00     0.11
 202202100000     0.00     0.00    32.66     3.25     0.01    45.30     8.51     0.00     0.00     0.00     0.90     1.21     2.13    10.63     4.25    14.91     0.00     0.11
 202202100100     0.00     0.00    32.68     3.21     0.01    45.00     8.50     0.00     0.00     0.00     0.89     1.21     2.13    10.54     4.20    14.73     0.00     0.11
 202202100200     0.00     0.00    32.58     3.17     0.01    44.62     8.45     0.00     0.00     0.00     0.88     1.23     2.11    10.52     4.17    14.57     0.00     0.11
 202202100300     0.00     0.00    32.62     3.13     0.01    44.23     8.40     0.00     0.00     0.00     0.87     1.22     2.10    10.50     4.14    14.41     0.00     0.11
 202202100400     0.00     0.00    32.67     3.09     0.01    43.86     8.37     0.00     0.00     0.00     0.86     1.23     2.13    10.46     4.11    14.25     0.00     0.10
 202202100500     0.00     0.00    32.80     3.04     0.01    43.51     8.33     0.00     0.00     0.00     0.85     1.23     2.12    10.41     4.06    14.09     0.00     0.10
 202202100600     0.00     0.00    32.84     3.00     0.01    43.18     8.28     0.00     0.00     0.00     0.84     1.24     2.14    10.40     4.02    13.92     0.00     0.10
 202202100700     0.00     0.00    33.00     2.96     0.01    42.86     8.25     0.00     0.00     0.00     0.83     1.23     2.13    10.32     3.97    13.76     0.00     0.10
