aaaammgghhpp	FERRAN	ARGE01	CALAMA	LAPRES	NERV01	PBATTO	STUR00	IMPTRE	ARRO01	PENNEV	ACQULE	SECCPO	PONTEX	LAVA01	TREB01	SCRBUS	CARCAR	STSGIU	
202202091500	0.15	0.00	31.94	3.65	0.01	48.35	8.73	0.00	0.00	0.00	0.98	1.03	2.25	11.18	4.51	16.62	0.00	0.13	
202202091600	0.15	0.00	32.06	3.60	0.01	48.09	8.69	0.00	0.00	0.00	0.97	1.11	2.25	11.16	4.48	16.41	0.00	0.13	
202202091700	0.15	0.00	32.22	3.56	0.01	47.78	8.65	0.00	0.00	0.00	0.96	1.14	2.25	11.12	4.48	16.20	0.00	0.13	
202202091800	0.15	0.00	32.42	3.51	0.01	47.50	8.62	0.00	0.00	0.00	0.95	1.14	2.23	11.02	4.46	16.01	0.00	0.13	
202202091900	0.15	0.00	32.61	3.47	0.01	47.20	8.59	0.00	0.00	0.00	0.94	1.14	2.24	10.97	4.42	15.82	0.00	0.12	
202202092000	0.15	0.00	32.78	3.43	0.01	46.92	8.58	0.00	0.00	0.00	0.93	1.14	2.24	10.92	4.37	15.62	0.00	0.12	
202202092100	0.15	0.00	32.93	3.38	0.01	46.54	8.53	0.00	0.00	0.00	0.93	1.14	2.22	10.84	4.36	15.46	0.00	0.12	
202202092200	0.15	0.00	32.95	3.33	0.01	46.13	8.51	0.00	0.00	0.00	0.93	1.16	2.20	10.76	4.32	15.27	0.00	0.12	
202202092300	0.15	0.00	32.95	3.29	0.01	45.78	8.54	0.00	0.00	0.00	0.92	1.20	2.18	10.72	4.28	15.08	0.00	0.11	
202202100000	0.15	0.00	33.09	3.25	0.01	45.43	8.51	0.00	0.00	0.00	0.90	1.21	2.17	10.71	4.25	14.91	0.00	0.11	
202202100100	0.15	0.00	33.08	3.21	0.01	45.12	8.50	0.00	0.00	0.00	0.89	1.21	2.16	10.61	4.20	14.73	0.00	0.11	
202202100200	0.15	0.00	32.96	3.17	0.01	44.74	8.45	0.00	0.00	0.00	0.88	1.23	2.14	10.59	4.17	14.57	0.00	0.11	
202202100300	0.15	0.00	32.97	3.13	0.01	44.34	8.40	0.00	0.00	0.00	0.87	1.22	2.13	10.57	4.14	14.41	0.00	0.11	
202202100400	0.15	0.00	33.00	3.09	0.01	43.96	8.37	0.00	0.00	0.00	0.86	1.23	2.16	10.52	4.11	14.25	0.00	0.10	
202202100500	0.15	0.00	33.11	3.04	0.01	43.61	8.33	0.00	0.00	0.00	0.85	1.23	2.15	10.47	4.06	14.09	0.00	0.10	
202202100600	0.15	0.00	33.13	3.00	0.01	43.27	8.28	0.00	0.00	0.00	0.84	1.24	2.16	10.45	4.02	13.92	0.00	0.10	
202202100700	0.15	0.00	33.28	2.96	0.01	42.95	8.25	0.00	0.00	0.00	0.83	1.23	2.15	10.37	3.97	13.76	0.00	0.10	
202202100800	0.15	0.00	33.32	2.92	0.01	42.58	8.20	0.00	0.00	0.00	0.82	1.22	2.13	10.29	3.93	13.58	0.00	0.09	
202202100900	0.15	0.00	33.36	2.89	0.01	42.18	8.13	0.00	0.00	0.00	0.81	1.22	2.15	10.21	3.89	13.42	0.00	0.09	
202202101000	0.15	0.00	33.00	1.55	0.01	40.98	7.79	0.00	0.00	0.00	0.39	0.85	1.66	9.59	2.25	12.58	0.00	0.05	
202202101100	0.15	0.00	27.86	0.17	0.00	35.17	3.63	0.00	0.00	0.00	0.06	0.23	0.16	6.71	0.83	9.71	0.00	0.02	
202202101200	0.15	0.00	20.53	0.02	0.00	27.89	0.53	0.00	0.00	0.00	0.02	0.16	0.02	2.79	0.56	3.81	0.00	0.00	
202202101300	0.15	0.00	9.84	0.00	0.00	20.61	0.12	0.00	0.00	0.00	0.00	0.04	0.02	0.25	0.27	1.26	0.00	0.00	
