 aaaammgghhpp  ARGE00   ARME00   ARRE00   AVET00   BOAT00   CARA00   CAST00   CERU00   CERV00   ERRO00   IMPE00   LEIR00   LERO00   LETI00   MARE00   MERETA   MERU00   MOLIBR   NERV00   PANESI   POLC00   PORA00   POSARA   POSLEV   PRIN00   QUIL00   RECC00   ROSSIG   SCIU00   SEGN00   SLOR00   TANA00   TEIR00   TIGLIE   VARA00   VCRO00   SANS00   CHIA00   BISA00   STRL00   NRVI00   SORI00   RUPI00   GHIA00   AMEF00   TREB00   CRIXIA   CENGIO   VARPEG 
 202202081400     0.00     0.00     0.00    16.25     1.63     0.00     0.15     0.74     0.00     8.97     0.00     1.26     0.05     0.05     0.00    27.74     0.00     0.01     0.03    24.50     3.82     0.00     2.03     0.55     0.00     0.01     2.06     9.23     0.00     0.01     0.00     0.00     0.05     6.73     0.00     0.00     0.01     0.68     7.37     0.67     0.53     0.95     0.06     0.00    40.28    14.44     0.00     0.00     1.66
 202202081500     0.00     0.00     0.00    17.06     1.68     0.00     0.15     0.74     0.00     9.36     0.00     1.30     0.06     0.05     0.00    29.41     0.00     0.01     0.03    25.98     3.86     0.00     2.13     0.59     0.00     0.01     2.10     9.54     0.00     0.01     0.00     0.00     0.05     6.86     0.00     0.00     0.03     0.68     7.57     0.74     0.55     0.95     0.06     0.00    46.14    15.48     0.00     0.00     1.77
 202202081600     0.00     0.00     0.00    17.72     1.78     0.00     0.15     0.75     0.00    10.07     0.00     1.30     0.07     0.06     0.00    30.28     0.00     0.01     0.03    27.23     3.90     0.00     2.15     0.61     0.00     0.01     2.11     9.62     0.00     0.01     0.00     0.00     0.05     6.86     0.00     0.00     0.04     0.69     7.79     0.81     0.55     0.94     0.06     0.00    51.28    15.99     0.00     0.00     1.81
 202202081700     0.00     0.00     0.00    18.56     1.91     0.00     0.16     0.75     0.00    10.26     0.00     1.36     0.08     0.07     0.00    31.10     0.00     0.01     0.03    28.40     4.02     0.00     2.20     0.64     0.00     0.01     2.09     9.69     0.00     0.01     0.00     0.00     0.05     6.87     0.00     0.00     0.06     0.68     7.87     0.83     0.54     0.92     0.06     0.03    55.80    16.46     0.00     0.00     1.82
 202202081800     0.00     0.00     0.00    19.21     1.99     0.00     0.16     0.77     0.00    10.58     0.00     1.39     0.08     0.07     0.00    31.74     0.00     0.01     0.03    29.24     4.05     0.00     2.21     0.65     0.00     0.01     2.07     9.73     0.00     0.01     0.00     0.00     0.05     6.93     0.00     0.00     0.06     0.67     7.94     0.83     0.53     0.92     0.06     0.04    59.64    16.68     0.00     0.00     1.89
 202202081900     0.00     0.00     0.00    19.56     2.07     0.00     0.15     0.79     0.00    10.78     0.00     1.41     0.08     0.06     0.00    32.29     0.00     0.01     0.03    29.84     4.07     0.00     2.24     0.66     0.00     0.01     2.08     9.71     0.00     0.01     0.00     0.00     0.05     6.95     0.00     0.00     0.06     0.67     8.06     0.84     0.52     0.90     0.07     0.04    62.66    16.96     0.00     0.00     1.91
 202202082000     0.00     0.00     0.00    19.95     2.12     0.00     0.15     0.79     0.00    11.02     0.00     1.47     0.10     0.06     0.00    32.77     0.00     0.01     0.03    30.55     4.12     0.00     2.28     0.65     0.00     0.01     2.10     9.71     0.00     0.01     0.00     0.00     0.05     6.96     0.00     0.00     0.06     0.66     8.13     0.89     0.51     0.89     0.06     0.04    65.63    17.20     0.00     0.00     1.92
 202202082100     0.00     0.00     0.00    20.39     2.13     0.00     0.15     0.79     0.00    11.12     0.00     1.52     0.10     0.06     0.00    32.88     0.00     0.01     0.02    31.02     4.17     0.00     2.37     0.66     0.00     0.01     2.10     9.78     0.00     0.01     0.00     0.00     0.05     6.96     0.00     0.00     0.06     0.66     8.26     0.89     0.51     0.88     0.06     0.04    68.48    17.44     0.00     0.00     1.93
 202202082200     0.00     0.00     0.00    20.86     2.17     0.00     0.15     0.78     0.00    11.31     0.00     1.52     0.13     0.06     0.00    33.06     0.00     0.01     0.02    31.37     4.21     0.00     2.42     0.67     0.00     0.01     2.08     9.77     0.00     0.01     0.00     0.00     0.05     6.93     0.00     0.00     0.07     0.67     8.28     0.90     0.50     0.88     0.06     0.04    71.26    17.75     0.00     0.00     1.93
 202202082300     0.00     0.00     0.00    21.02     2.21     0.00     0.15     0.79     0.00    11.45     0.00     1.54     0.15     0.06     0.00    33.22     0.00     0.01     0.02    31.87     4.35     0.00     2.49     0.68     0.00     0.01     2.11     9.77     0.00     0.01     0.00     0.00     0.05     6.86     0.00     0.00     0.09     0.68     8.31     0.91     0.50     0.87     0.06     0.04    73.64    17.86     0.00     0.00     1.93
