 aaaammgghhpp  ARGE00   ARME00   ARRE00   AVET00   BOAT00   CARA00   CAST00   CERU00   CERV00   ERRO00   IMPE00   LEIR00   LERO00   LETI00   MARE00   MERETA   MERU00   MOLIBR   NERV00   PANESI   POLC00   PORA00   POSARA   POSLEV   PRIN00   QUIL00   RECC00   ROSSIG   SCIU00   SEGN00   SLOR00   TANA00   TEIR00   TIGLIE   VARA00   VCRO00   SANS00   CHIA00   BISA00   STRL00   NRVI00   SORI00   RUPI00   GHIA00   AMEF00   TREB00   CRIXIA   CENGIO   VARPEG 
 202010030000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.51     0.00
 202010030100     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.00     0.00     1.80     0.00     0.01     0.00     0.44     0.00     0.00     0.05     0.62     0.00     0.12     0.02     0.00     0.00     0.00     0.00     0.14     0.00     0.17     0.00     0.43     0.00     0.00     0.34     0.01     0.01     0.00     0.19     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.90     0.00
 202010030200     0.02     0.00     0.01     0.00     0.12     0.01     0.00     0.00     0.00     3.73     0.05     0.64     0.25     0.49     0.00     0.35     0.04     0.48     0.04     0.24     0.80     0.00     0.02     0.00     0.00     0.46     0.00     1.47     0.01     0.35     0.00     0.00     0.51     4.47     0.01     0.00     0.26     0.57     0.74     0.01     0.00     0.00     0.00     0.00     0.02     0.00     0.66     1.42     0.10
 202010030300     0.06     0.00     0.38     0.70     1.23     0.05     0.04     1.05     0.00     4.16     0.12     0.88     0.66     0.58     0.03     2.87     0.10     0.32     0.38     1.17     3.16     0.03     0.14     0.00     0.00     0.56     0.29     4.43     0.00     0.27     0.00     0.16     0.51    15.50     0.04     0.00     0.43     0.63     3.56     0.30     0.27     0.12     0.13     0.00     0.23     3.05     2.98     0.97     0.79
 202010030400     0.46     0.12     0.91     5.55     2.48     0.06     0.38     1.63     0.01     5.07     0.28     1.47     0.95     0.65     0.00     6.05     0.21     0.69     0.45     6.50     6.06     0.00     1.61     0.00     0.04     0.62     1.05     8.26     0.00     0.28     0.00     1.32     1.19    14.68     0.07     0.01     0.77     0.67     6.59     0.95     0.40     0.27     0.19     0.00     0.55    22.09     1.88     1.39     1.40
 202010030500     1.25     0.56     1.49    21.06     3.56     0.04     0.58     2.49     0.04     6.83     0.50     2.46     1.57     0.87     0.02    12.98     0.32     1.78     1.40    26.08     7.13     0.00     5.06     0.91     0.14     0.90     2.63    11.85     0.00     0.39     0.00     2.41     1.85    17.83     0.15     0.03     1.53     1.08     7.74     1.37     1.17     0.78     0.29     0.00     1.65    35.50     1.39     1.05     2.12
 202010030600     4.70     0.85     2.42    43.12     7.68     0.02     0.90     4.08     0.05     9.00     0.55     3.96     2.67     1.19     0.01    33.53     0.29     4.15     3.64    70.60    10.59     0.00    12.73     3.98     0.19     1.32     6.35    16.26     0.00     0.36     0.00     3.28     2.57    22.57     0.06     0.00     2.05     2.03    13.83     3.11     3.23     2.58     0.86     0.01     3.88    56.40     1.18     0.94     4.03
 202010030700    12.54     1.30     3.04    77.08    12.38     0.02     1.37     6.11     0.03    10.79     0.49     5.59     3.19     1.53     0.01    86.49     0.14     8.53     6.69   137.14    28.71     0.00    21.56     7.73     0.19     1.35    10.64    22.53     0.00     0.43     0.04     3.85     2.86    26.13     0.03     0.00     2.66     2.27    32.40     5.55     4.35     3.40     1.21     0.13     9.86    95.47     1.77     1.10     7.16
 202010030800    15.86     1.64     3.04   122.44    10.40     0.02     1.66     5.28     0.04    11.85     0.50     5.20     3.07     1.45     0.01   141.00     0.13    15.97     7.92   226.93    48.12     0.00    24.58     8.31     0.18     1.42     9.98    23.18     0.00     0.45     0.03     4.11     3.12    23.14     0.03     0.00     3.15     2.20    63.57     5.20     4.07     3.74     1.16     0.26    23.84   137.09     1.24     1.13     6.08
 202010030900    18.54     1.97     3.08   152.76     9.73     0.06     1.82     4.83     0.07    13.01     0.59     5.25     3.30     1.55     0.05   191.38     0.21    19.32     8.75   293.03    43.80     0.04    24.51     8.18     0.28     1.57     9.33    22.51     0.00     0.47     0.03     4.44     3.56    21.68     0.03     0.00     3.82     2.01    75.77     4.78     2.52     3.09     1.31     0.26    47.68   163.62     1.51     1.60     4.95
