 aaaammgghhpp  FERRAN   ARGE01   CALAMA   LAPRES   NERVBU   PBATTO   STUR00   IMPTRE   ARRO01   PENNEV   ACQULE   SECCPO   PONTEX   LAVA01   TREB01   SCRBUS   CARCAR 
 202010041700     2.61    21.94   188.51    16.09     1.88   138.26    51.52     2.83    14.94     9.14    13.64    18.14    23.12    65.07    37.67    72.92     3.49
 202010041800     2.44    18.44   200.64    15.33     2.65   140.22    52.09     2.55    13.00     7.19    12.99    19.86    34.58    70.89    37.18    82.03     3.20
 202010041900     2.04    20.36   234.76    11.85     2.22   149.77    46.58     2.54    12.94     6.56     9.01    16.24    30.90    71.14    34.54    83.57     2.49
 202010042000     1.95    22.59   298.48     9.47     1.96   165.73    40.42     2.60    13.03     6.56     7.14    14.19    27.88    62.26    32.92    72.36     2.17
 202010042100     1.83    19.31   332.45     8.18     1.74   179.89    42.23     2.44    12.06     6.54     5.61    12.78    22.72    53.38    31.59    63.52     2.04
 202010042200     1.76    17.56   368.99     7.47     1.66   175.85    42.00     2.38    11.62     6.36     4.52    12.11    17.74    54.54    26.10    54.81     2.04
 202010042300     1.66    16.60   345.51     7.11     1.61   167.08    38.29     2.33    11.36     6.28     5.15    11.79    19.62    47.88    23.60    50.77     2.06
 202010050000     1.63    16.23   318.63     7.02     1.59   155.71    40.93     2.31    11.22     6.33     5.13    12.36    19.32    41.41    23.97    50.80     2.04
 202010050100     1.62    15.97   277.14     7.39     1.53   143.57    38.52     2.29    10.92     6.26     4.28    12.51    19.19    38.56    23.06    56.00     2.03
 202010050200     1.63    15.76   253.59     8.01     1.51   134.08    36.65     2.28    10.73     6.14     4.04    11.48    15.44    37.64    24.36    53.56     2.04
 202010050300     1.62    15.55   245.51     7.77     1.47   128.60    33.39     2.27    10.57     6.05     3.87    11.28    14.25    39.33    24.00    49.23     2.04
 202010050400     1.62    15.27   260.92     7.05     1.46   121.26    31.17     2.25    10.46     5.98     3.69    10.39    12.87    42.08    21.45    47.72     2.02
 202010050500     1.62    15.02   271.16     6.60     1.42   112.08    29.14     2.25    10.39     5.96     3.62     9.82    12.13    38.83    21.03    43.82     1.99
 202010050600     1.59    14.80   236.00     6.27     1.40   106.41    28.08     2.23    10.18     5.90     3.53     9.41    11.75    37.29    19.70    40.49     1.98
 202010050700     1.58    14.58   204.12     6.04     1.37   101.90    28.11     2.21    10.17     5.78     3.45     9.06    11.50    36.91    18.22    38.13     1.97
 202010050800     1.56    14.37   191.74     5.89     1.35   100.34    28.90     2.18     9.90     5.72     3.37     8.81    11.30    34.12    17.34    36.48     1.97
 202010050900     1.56    14.13   192.12     5.78     1.33    98.28    26.68     2.16     9.74     5.64     3.30     8.66    11.11    32.33    16.53    35.43     1.95
 202010051000     1.55    13.91   198.73     5.68     1.30    98.66    25.59     2.14     9.59     5.57     3.23     8.53    10.94    31.34    16.10    34.52     1.93
 202010051100     1.55    13.71   183.11     5.59     1.28   101.93    25.40     2.13     9.46     5.51     3.16     8.40    10.76    31.00    15.80    33.79     1.92
 202010051200     1.55    13.50   174.19     5.49     1.26   100.37    25.18     2.12     9.33     5.44     3.09     8.28    10.60    30.84    15.48    33.20     1.90
 202010051300     1.55    13.30   167.93     5.40     1.24    98.28    24.16     2.10     9.20     5.38     3.03     8.16    10.43    30.37    15.16    32.64     1.89
 202010051400     1.54    13.10   163.69     5.31     1.22    94.16    23.18     2.08     9.07     5.32     2.96     8.04    10.27    29.50    14.91    32.09     1.88
 202010051500     1.56    12.91   160.68     5.22     1.20    89.94    22.59     2.06     8.95     5.27     2.90     7.92    10.12    28.86    14.66    31.55     1.86
 202010051600     1.55    12.72   157.45     5.14     1.18    87.27    22.16     2.05     8.83     5.20     2.84     7.81     9.96    28.37    14.42    31.03     1.85
 202010051700     1.53    12.53   154.79     5.05     1.16    85.30    21.82     2.03     8.70     5.14     2.78     7.69     9.81    27.93    14.20    30.51     1.85
 202010051800     1.51    12.35   154.04     4.97     1.14    83.72    21.82     2.01     8.59     5.08     2.72     7.58     9.66    27.84    14.12    30.01     1.84
 202010051900     1.50    12.16   153.75     8.58     1.12    82.72    26.65     2.00     8.47     5.02     2.67     7.52     9.52    28.75    14.42    29.56     1.82
 202010052000     1.34    10.96   153.61     8.13     0.29    81.34    31.07     1.34     7.33     4.65     1.38     6.04     9.23    29.74    11.43    27.63     1.67
 202010052100     0.92     5.52   135.11     3.14     0.20    72.85    17.31     0.21     1.58     2.07     0.39     2.25     2.57    29.71     4.96    25.52     1.02
 202010052200     0.45     0.42   104.03     0.92     0.03    59.88     6.44     0.02     0.41     0.10     0.18     1.31     1.00    25.54     3.38    13.71     0.21
 202010052300     0.18     0.04    56.55     0.29     0.02    46.99     2.64     0.00     0.04     0.01     0.00     0.64     0.21     7.14     1.80     6.11     0.07
 202010060000     0.08     0.00    22.20     0.00     0.00    30.87     0.83     0.00     0.00     0.00     0.00     0.27     0.04     3.02     1.09     2.89     0.00
 202010060100     0.04     0.00     9.94     0.00     0.00    13.79     0.31     0.00     0.00     0.00     0.00     0.04     0.01     0.30     0.80     1.27     0.00
 202010060200     0.00     0.00     4.98     0.00     0.00     5.61     0.18     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.46     0.64     0.00
 202010060300     0.00     0.00     2.63     0.00     0.00     2.57     0.04     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.26     0.11     0.00
 202010060400     0.00     0.00     1.57     0.00     0.00     1.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.16     0.00     0.00
 202010060500     0.00     0.00     1.13     0.00     0.00     0.45     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010060600     0.00     0.00     0.58     0.00     0.00     0.18     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010060700     0.00     0.00     0.27     0.00     0.00     0.04     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010060800     0.00     0.00     0.11     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010060900     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010061000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010061100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
