 aaaammgghhpp  ARGEME   ARMVAL   AVECAB   CAIROM   CAMINA   CARASC   FORNOL   IMPERU   MOLINE   MURIAL   NERV01   NEVCIS   PORTOV   SANTUA   STSGIU   VOBBIE   QUAZQU   BOLSTE   POLCAM   BISMOL   ROVEGN   SCRISO   CAMPST 
 202010020700     0.00     0.03    59.24     0.00   125.89   344.75   104.29     0.00     8.92     0.00     0.04     0.00     0.00     0.00     0.00    21.23     0.00     0.67    24.57    21.05   126.39   101.16     5.19
 202010020800     0.17     0.18   115.59     0.00    83.62   323.16   153.06     0.00    14.83     0.00     1.52     0.09     0.00     0.16     0.00    38.99     0.00     4.03    68.86    57.65   214.39   105.56    23.58
 202010020900     5.09     2.30   152.67     1.92    47.47   451.34   340.12     0.10    12.98     0.02     4.77     0.08     0.63     0.01     0.00    52.30     0.00     2.39    84.71    75.53   373.86   122.98    40.21
 202010021000     8.07     1.30   119.12     6.36    27.02   549.21   678.07     0.20    10.23     0.31     6.31     0.18     1.61     0.00     0.00    51.46     0.00     1.02    70.08    65.73   426.34   156.80    29.48
 202010021100     8.66     0.40    78.41     3.28    18.00   472.24   738.39     0.79     9.31     0.41     3.44     0.68     0.78     0.14     0.00    37.22     0.00     1.10    50.38    41.19   333.04   198.49    25.32
 202010021200     4.90     0.63    52.31     1.72    13.92   299.56   604.22     0.74     9.51     0.15     0.81     0.20     0.47     0.14     0.00    24.33     0.00     1.13    41.28    24.71   241.39   225.60    28.62
 202010021300     1.98     0.30    32.27     2.61    11.88   173.89   473.44     0.77     9.29     0.45     0.22     0.94     1.29     0.06     0.00    18.29     0.00     0.77    38.86    18.38   176.52   185.67    34.82
 202010021400     0.12     0.30    22.74     1.63    11.18   118.41   370.67     0.28     8.08     0.25     0.62     1.91     3.44     0.05     0.00    16.79     0.00     0.72    38.29    16.59   123.54   136.59    27.73
 202010021500     5.59     0.06    20.09     1.18    11.34    98.65   317.46     0.13     6.83     0.04     1.13     4.06     4.87     0.05     0.00    16.37     0.00     0.81    35.55    16.17   104.59   101.88    21.61
 202010021600    13.91     0.11    17.71     0.96    11.61    92.17   279.13     0.14     6.90     0.02     2.78     4.11    22.90     0.06     0.00    17.64     0.00     0.87    40.45    18.00    88.39    89.03    19.99
 202010021700    24.52     0.18    17.82     1.02    11.06    89.07   256.34     0.18    14.35     0.05     4.56     3.28    39.08     0.07     0.00    24.97     0.00     1.15    53.02    30.28    75.90    88.30    32.28
 202010021800    44.62     0.77    20.89     1.12    10.64    90.97   263.17     0.32    19.00     0.13     3.31     3.34    61.55     0.07     0.00    36.41     0.00     1.05    78.79    34.36    83.19    96.30    63.83
 202010021900    72.20     3.73    18.19     2.75    10.39   100.50   300.02     0.60    14.76     1.74     7.17     5.69   111.54     0.22     0.00    34.40     0.00     2.47    76.67    28.96    80.44   114.59    54.35
 202010022000   150.61     5.15    16.55     6.14    10.11    99.51   335.16     0.93    14.49     5.97    23.82    10.64   174.18     0.55     0.00    27.40     0.00     4.31    66.98    22.55    68.95   135.79    57.98
 202010022100   264.31     4.87    16.22     9.19     9.94    90.91   351.76     1.31    15.42    10.74    54.99    18.16   263.88     0.61     0.02    22.38     0.00     6.41    56.31    19.43    65.66   134.75    82.11
 202010022200   403.64    12.96    16.46    12.06     9.98    88.31   339.59     2.99    15.82    20.62   123.22    30.84   418.38     0.65     0.28    19.90     0.00     7.45    53.66    19.29    62.11   112.38    96.15
 202010022300   586.06    68.51    16.62    14.38     9.75    90.28   331.67     7.63    12.25    42.08   215.08    49.76   521.43     1.13     0.50    19.91     0.00     6.51    52.62    18.51    63.47    96.91    74.43
 202010030000   796.73   106.59    16.09    21.40     9.49    90.28   332.41    17.59     9.62    75.23   257.31    99.66   652.25     1.60     0.74    20.02     0.02     5.90    48.05    17.28    63.06    87.49    50.53
 202010030100   822.34    75.71    15.85    30.82     9.31    87.37   309.56    27.15     9.68   115.69   224.85   121.47   766.64     2.58     3.55    20.10     0.66     7.94    44.15    16.15    60.34    84.37    40.94
 202010030200   596.93    36.21    17.12    49.21     9.44    85.55   296.46    33.78    15.59   151.58   138.72   116.05   728.99     3.63     5.15    21.85     1.30    12.62    44.55    19.02    62.32    85.43    51.96
 202010030300   318.40    17.72    33.51    56.07    13.11    94.46   294.50    29.06    20.82   124.74    79.63    81.31   505.04     3.63     4.03    38.12     0.86    10.27    77.20    40.65   106.22   101.24    73.28
 202010030400   176.96    19.98    55.73    49.24    30.47   166.05   284.49    24.22    14.92    88.07    71.41    49.40   291.31     3.39     3.75    51.34     1.16     8.66    94.12    58.85   188.72   119.30    60.01
 202010030500   155.77    20.98    56.25    42.41    37.72   283.00   291.87    20.92    12.12    63.78    79.38    40.56   191.62     3.70     3.93    49.15     1.63     7.83    78.37    54.32   204.75   156.91    44.22
 202010030600   156.77    15.21    62.19    38.17    46.02   335.64   331.24    19.15    11.50    48.57    66.88    41.91   170.09     4.65     4.17    53.67     1.99     7.68    72.29    55.07   208.80   220.57    38.35
 202010030700   126.99    11.00    70.55    37.60    53.12   372.11   421.13    17.72    11.80    42.86    47.46    37.64   156.28     3.90     3.78    70.35     1.83     7.32   106.21    86.55   229.49   253.43    41.07
 202010030800    88.48     9.29    65.90    35.82    48.84   411.62   573.43    15.20     9.78    37.73    36.93    31.17   121.10     3.75     3.17    71.33     1.86     6.62   114.77   100.87   239.73   273.01    33.66
 202010030900    66.90     8.57    59.34    33.99    41.68   410.47   735.61    13.04     8.38    34.06    33.22    27.35    96.01     3.83     2.90    65.24     1.85     5.68    94.74    79.14   230.52   297.56    27.05
 202010031000    58.57     8.16    47.66    31.35    34.61   374.30   835.82    12.02     7.28    31.12    31.74    25.85    81.31     3.90     2.85    47.43     1.79     5.34    74.69    50.20   200.64   314.68    22.82
 202010031100    55.93     8.02    34.08    30.05    27.24   305.73   865.86    11.70     6.65    29.21    30.80    25.36    75.35     3.74     2.55    29.42     1.82     5.15    55.80    30.31   151.91   278.68    20.64
 202010031200    54.48     7.87    24.74    29.22    19.34   212.13   856.77    11.56     6.40    28.38    30.15    25.20    72.05     3.73     2.41    21.21     1.86     4.97    45.18    21.19   107.63   212.43    19.23
 202010031300    53.34     7.76    19.57    28.68    14.85   144.00   768.40    11.55     6.24    28.00    29.63    24.85    69.90     3.68     2.31    17.49     1.87     4.81    38.02    17.94    78.59   148.50    18.00
 202010031400    52.28     7.63    17.40    28.38    12.33   108.16   645.77    11.54     6.10    27.53    29.10    24.63    67.91     3.64     2.23    16.70     1.87     4.67    34.98    16.96    61.30   108.26    17.11
 202010031500    51.22     7.49    15.85    28.16    11.17    93.79   529.81    11.50     5.97    27.25    28.57    24.29    66.04     3.61     2.16    16.21     1.87     4.57    33.44    16.49    53.87    84.88    16.64
 202010031600    50.19     7.35    15.22    28.00    10.72    88.45   435.11    11.42     5.84    26.99    28.03    23.97    64.27     3.57     2.09    15.86     1.85     4.48    32.72    16.15    49.46    73.95    16.24
 202010031700    49.17     7.21    14.92    27.83    10.50    85.58   362.54    11.38     5.71    26.65    27.52    23.67    62.52     3.55     2.07    15.53     1.83     4.40    32.10    15.82    46.31    67.72    15.86
 202010031800    48.19     7.08    14.67    27.66    10.29    83.61   315.82    11.26     5.59    26.40    27.03    23.48    60.85     3.52     2.03    15.21     1.81     4.32    31.50    15.50    44.07    64.62    15.50
 202010031900    47.21     6.94    14.45    27.31    10.07    82.14   291.17    11.14     5.47    26.08    26.55    23.24    59.23     3.48     2.02    14.90     1.78     4.24    30.92    15.20    42.79    62.87    15.15
 202010032000    46.26     6.81    14.31    26.99     9.92    80.79   277.30    11.00     5.35    25.61    26.06    22.93    57.68     3.45     1.99    14.67     1.75     4.19    30.40    14.96    42.07    61.68    14.81
 202010032100    45.34     6.69    14.48    26.72    10.36    80.07   272.09    10.90     5.25    25.18    25.57    22.61    56.21     3.40     1.95    14.59     1.72     4.11    30.26    15.35    41.94    60.61    14.56
 202010032200    44.50     6.58    14.48    26.45    10.67    80.32   286.46    10.79     5.14    24.83    25.11    22.34    54.95     3.34     1.91    14.27     1.70     4.03    29.70    14.98    42.00    60.01    14.26
 202010032300    41.13     6.04    12.24    25.09     8.56    78.65   319.41     8.93     2.89    22.32    22.45    20.97    51.94     2.80     1.23    12.52     1.19     2.84    28.28    13.23    38.45    58.56    11.60
 202010040000    27.44     1.04     5.28    19.46     3.47    59.08   362.21     2.96     1.08    16.55     9.68    11.91    39.33     1.08     0.94     5.02     0.41     1.11    15.18     4.83    22.05    51.47     4.34
 202010040100    12.04     0.34     3.10    11.61     1.49    28.47   379.24     1.26     0.44     7.19     2.49     1.76    17.20     0.67     0.71     1.80     0.21     0.53     6.80     1.74    11.40    40.89     1.99
 202010040200     2.22     0.03     1.18     6.96     0.41     9.92   387.39     0.30     0.03     3.80     0.75     0.46     3.83     0.40     0.50     0.28     0.10     0.22     2.69     0.43     6.67    22.54     0.91
 202010040300     0.58     0.02     0.29     3.65     0.04     3.49   302.15     0.10     0.00     1.73     0.33     0.02     0.95     0.18     0.39     0.00     0.03     0.11     0.96     0.10     3.74    10.00     0.43
 202010040400     0.13     0.00     0.03     1.59     0.00     0.87   185.29     0.01     0.00     0.61     0.10     0.00     0.12     0.07     0.21     0.00     0.00     0.04     0.28     0.00     2.04     4.21     0.21
 202010040500     0.00     0.00     0.00     0.59     0.00     0.21    88.21     0.00     0.00     0.27     0.00     0.00     0.00     0.01     0.10     0.00     0.00     0.01     0.01     0.00     1.34     1.78     0.06
 202010040600     0.00     0.00     0.00     0.08     0.00     0.08    41.77     0.00     0.00     0.02     0.00     0.00     0.00     0.00     0.06     0.00     0.00     0.00     0.00     0.00     0.64     0.58     0.00
 202010040700     0.00     0.00     0.00     0.00     0.00     0.00    18.36     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.35     0.09     0.00
 202010040800     0.00     0.00     0.00     0.00     0.00     0.00     8.19     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.19     0.00     0.00
 202010040900     0.00     0.00     0.00     0.00     0.00     0.00     4.37     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.00     0.00
 202010041000     0.00     0.00     0.00     0.00     0.00     0.00     2.06     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010041100     0.00     0.00     0.00     0.00     0.00     0.00     0.65     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010041200     0.00     0.00     0.00     0.00     0.00     0.00     0.16     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010041300     0.00     0.00     0.00     0.00     0.00     0.00     0.08     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010041400     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010041500     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
