 aaaammgghhpp  AULE00   BOVARA   MAGR01   STUVIG   ARGCAP   GATTOR   LICTAV   BAGNON   PTEGLI   SCRI01   BRUDIG 
 202010031400    25.49   145.35    77.84    35.27    22.37    18.78     4.85     2.50    12.97    47.73     8.10
 202010031500    21.63   118.56    69.26    30.88    21.91    18.45     4.44     2.44    12.17    42.61     7.72
 202010031600    20.97   103.20    64.89    29.28    21.45    18.14     4.16     2.51    11.83    40.01     7.53
 202010031700    20.23    94.99    62.71    28.38    21.01    17.83     4.12     2.52    11.59    38.71     7.38
 202010031800    19.85    90.18    61.36    27.74    20.58    17.53     4.11     2.58    11.39    37.90     7.23
 202010031900    19.60    87.47    60.26    27.29    20.15    17.28     4.09     2.59    11.20    37.14     7.19
 202010032000    19.77    86.14    59.86    27.00    19.75    17.17     4.36     2.96    11.27    36.84     7.28
 202010032100    23.70    87.41    66.60    27.40    19.44    17.46     6.26     3.74    13.90    37.66     7.25
 202010032200    31.48    91.94    77.07    27.63    18.96    16.83     9.32     5.14    15.60    37.26     7.05
 202010032300    44.39    99.62    98.62    23.76    15.08    13.15    12.67     4.76    24.62    33.63     4.48
 202010040000    54.42    89.27    68.14     8.68     3.26     3.93    15.25     1.06    14.68    18.13     2.14
 202010040100    57.77    68.96    31.63     3.57     0.81     1.23     5.24     0.59     8.33     7.87     0.93
 202010040200    24.25    36.97    14.86     1.26     0.17     0.09     3.19     0.31     2.72     3.44     0.12
 202010040300    12.68    18.06     5.11     0.33     0.00     0.00     0.51     0.32     0.76     1.41     0.02
 202010040400     4.36     8.37     1.28     0.16     0.00     0.00     0.13     0.06     0.24     0.51     0.00
 202010040500     2.99     3.64     0.22     0.11     0.00     0.00     0.00     0.00     0.00     0.09     0.00
 202010040600     2.05     1.47     0.07     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010040700     1.35     0.56     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010040800     1.25     0.20     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010040900     0.74     0.04     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010041000     0.43     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010041100     0.16     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010041200     0.08     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010041300     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
