 aaaammgghhpp  ARGE00   ARME00   ARRE00   AVET00   BOAT00   CARA00   CAST00   CERU00   CERV00   ERRO00   IMPE00   LEIR00   LERO00   LETI00   MARE00   MERETA   MERU00   MOLIBR   NERV00   PANESI   POLC00   PORA00   POSARA   POSLEV   PRIN00   QUIL00   RECC00   ROSSIG   SCIU00   SEGN00   SLOR00   TANA00   TEIR00   TIGLIE   VARA00   VCRO00   SANS00   CHIA00   BISA00   STRL00   NRVI00   SORI00   RUPI00   GHIA00   AMEF00   TREB00   CRIXIA   CENGIO   VARPEG 
 202009290000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009290100     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.12     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009290200     0.00     0.00     0.00     0.00     0.04     0.00     0.00     0.00     0.00     0.00     0.00     0.11     0.00     0.01     0.00     0.10     0.00     0.00     0.00     0.22     0.21     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.06     0.16     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009290300     0.00     0.00     0.00     0.03     0.10     0.00     0.00     0.00     0.00     0.00     0.00     0.20     0.05     0.03     0.00     0.52     0.00     0.00     0.00     0.47     0.56     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.19     0.43     0.00     0.00     0.00     0.02     0.00     0.13     0.00     0.00     0.00     0.06
 202009290400     0.00     0.00     0.00     0.11     0.24     0.00     0.00     0.05     0.00     0.00     0.00     0.47     0.26     0.06     0.00     1.23     0.00     0.00     0.00     1.05     1.13     0.00     0.05     0.00     0.00     0.00     0.01     0.03     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.00     0.00     0.27     0.65     0.04     0.10     0.00     0.08     0.00     0.28     0.07     0.00     0.00     0.28
 202009290500     0.00     0.00     0.00     0.60     0.37     0.00     0.00     0.23     0.00     0.00     0.00     0.72     0.61     0.07     0.00     1.98     0.00     0.00     0.00     1.85     1.77     0.00     0.08     0.00     0.00     0.00     0.18     0.19     0.00     0.01     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.43     0.95     0.16     0.16     0.07     0.08     0.00     0.56     0.52     0.00     0.00     0.66
 202009290600     0.00     0.00     0.00     1.83     0.60     0.00     0.00     0.43     0.00     0.01     0.00     1.01     0.76     0.06     0.00     2.95     0.00     0.00     0.00     2.88     2.65     0.00     0.13     0.00     0.00     0.01     0.41     0.51     0.00     0.02     0.00     0.00     0.05     0.00     0.00     0.00     0.00     0.71     1.52     0.27     0.16     0.07     0.08     0.00     0.93     1.45     0.00     0.00     0.85
 202009290700     0.00     0.00     0.00     4.03     0.74     0.00     0.00     0.59     0.00     0.01     0.00     1.37     0.97     0.06     0.00     5.08     0.00     0.00     0.00     4.39     3.38     0.00     0.24     0.01     0.00     0.01     0.64     0.80     0.00     0.02     0.00     0.00     0.05     0.00     0.00     0.00     0.00     0.81     2.13     0.29     0.20     0.13     0.08     0.00     1.36     2.94     0.00     0.00     1.20
 202009290800     0.00     0.00     0.00     5.38     1.02     0.00     0.00     0.85     0.00     0.01     0.00     1.57     1.25     0.06     0.00     7.76     0.00     0.00     0.00     5.61     3.98     0.00     0.33     0.07     0.00     0.01     0.82     1.08     0.00     0.03     0.00     0.00     0.05     0.02     0.00     0.00     0.00     0.88     3.09     0.30     0.23     0.13     0.09     0.00     1.96     4.63     0.00     0.00     1.43
 202009290900     0.00     0.00     0.00     7.70     1.29     0.00     0.00     1.09     0.00     0.01     0.00     1.92     1.55     0.06     0.00    10.49     0.00     0.00     0.00     6.90     4.70     0.00     0.47     0.18     0.00     0.01     0.98     1.29     0.00     0.03     0.00     0.00     0.06     0.05     0.00     0.00     0.01     0.97     3.69     0.37     0.33     0.17     0.12     0.00     2.48     6.43     0.00     0.00     1.77
 202009291000     0.00     0.00     0.02     9.67     1.42     0.00     0.00     1.24     0.00     0.01     0.00     2.15     1.77     0.06     0.00    14.09     0.00     0.00     0.00     7.99     5.10     0.00     0.56     0.36     0.00     0.01     1.02     1.70     0.00     0.02     0.00     0.00     0.06     0.06     0.00     0.00     0.00     1.05     4.18     0.42     0.43     0.20     0.12     0.00     2.83     8.92     0.00     0.00     2.02
 202009291100     0.00     0.00     0.02    11.65     1.69     0.00     0.00     1.30     0.00     0.01     0.00     2.27     1.95     0.06     0.00    16.74     0.00     0.00     0.00     8.81     5.74     0.00     0.58     0.48     0.00     0.01     1.23     1.93     0.00     0.02     0.00     0.00     0.06     0.07     0.00     0.00     0.00     1.11     4.61     0.49     0.46     0.27     0.12     0.00     3.51    10.39     0.00     0.00     2.09
 202009291200     0.00     0.00     0.02    13.08     1.82     0.00     0.00     1.41     0.00     0.01     0.00     2.47     2.00     0.06     0.00    19.69     0.00     0.00     0.00     9.94     6.30     0.00     0.59     0.66     0.00     0.01     1.40     2.05     0.00     0.02     0.00     0.00     0.06     0.10     0.00     0.00     0.00     1.13     5.09     0.61     0.50     0.40     0.12     0.00     4.12    12.14     0.00     0.00     2.19
 202009291300     0.00     0.00     0.02    14.40     1.98     0.00     0.00     1.52     0.00     0.01     0.00     2.59     2.08     0.07     0.00    21.99     0.00     0.00     0.00    10.94     6.70     0.00     0.68     0.71     0.00     0.01     1.54     2.18     0.00     0.02     0.00     0.00     0.06     0.18     0.00     0.00     0.00     1.12     5.44     0.71     0.50     0.56     0.12     0.00     4.47    13.61     0.00     0.00     2.27
 202009291400     0.00     0.00     0.03    15.22     2.20     0.00     0.00     1.67     0.00     0.01     0.00     2.74     2.12     0.08     0.00    24.04     0.00     0.00     0.00    11.84     6.98     0.00     0.74     0.80     0.00     0.01     1.58     2.40     0.00     0.02     0.00     0.00     0.06     0.30     0.00     0.00     0.01     1.12     5.66     0.82     0.52     0.64     0.12     0.00     4.99    14.93     0.00     0.00     2.38
 202009291500     0.00     0.00     0.04    16.01     2.26     0.00     0.00     1.70     0.00     0.01     0.00     2.78     2.17     0.09     0.00    25.51     0.00     0.00     0.00    12.73     7.32     0.00     0.83     0.86     0.00     0.01     1.62     2.60     0.00     0.02     0.00     0.00     0.07     0.39     0.00     0.00     0.02     1.13     5.83     0.85     0.54     0.68     0.12     0.00     5.63    15.93     0.00     0.00     2.47
 202009291600     0.00     0.00     0.04    16.64     2.31     0.00     0.00     1.81     0.00     0.01     0.00     2.79     2.19     0.09     0.00    26.69     0.00     0.00     0.00    13.48     7.61     0.00     0.90     0.98     0.00     0.01     1.61     2.70     0.00     0.02     0.00     0.00     0.07     0.42     0.00     0.00     0.01     1.18     6.08     0.89     0.54     0.73     0.12     0.00     6.28    16.57     0.00     0.00     2.49
 202009291700     0.00     0.00     0.06    17.37     2.38     0.00     0.01     1.87     0.00     0.01     0.00     2.80     2.19     0.09     0.00    27.62     0.00     0.00     0.00    14.17     7.96     0.00     0.99     1.04     0.00     0.01     1.62     2.79     0.00     0.02     0.00     0.00     0.08     0.44     0.00     0.00     0.01     1.22     6.28     0.92     0.53     0.73     0.12     0.00     6.83    17.20     0.00     0.00     2.48
 202009291800     0.00     0.00     0.07    17.94     2.41     0.00     0.01     1.96     0.00     0.01     0.00     2.79     2.21     0.09     0.00    28.36     0.00     0.00     0.00    14.62     8.29     0.00     0.98     1.06     0.00     0.01     1.61     2.89     0.00     0.01     0.00     0.00     0.10     0.46     0.00     0.00     0.01     1.22     6.47     0.94     0.52     0.74     0.12     0.00     7.20    17.73     0.00     0.00     2.48
 202009291900     0.00     0.00     0.07    18.16     2.42     0.00     0.01     2.01     0.00     0.01     0.00     2.81     2.23     0.09     0.00    29.05     0.00     0.00     0.00    15.13     8.51     0.00     1.02     1.04     0.00     0.01     1.61     3.02     0.00     0.01     0.00     0.00     0.12     0.45     0.00     0.00     0.01     1.25     6.51     0.95     0.52     0.75     0.12     0.00     7.68    18.34     0.00     0.00     2.50
 202009292000     0.00     0.00     0.07    18.41     2.45     0.00     0.01     2.04     0.00     0.01     0.00     2.86     2.24     0.09     0.00    29.52     0.00     0.00     0.00    15.34     8.71     0.00     1.07     1.06     0.00     0.01     1.60     3.14     0.00     0.01     0.00     0.00     0.12     0.47     0.00     0.00     0.01     1.31     6.54     1.00     0.51     0.74     0.12     0.00     8.40    18.77     0.00     0.00     2.50
 202009292100     0.00     0.00     0.07    18.71     2.47     0.00     0.01     2.05     0.00     0.01     0.00     2.85     2.26     0.08     0.00    29.82     0.00     0.00     0.00    15.57     8.94     0.00     1.10     1.08     0.00     0.01     1.61     3.34     0.00     0.01     0.00     0.00     0.13     0.50     0.00     0.00     0.01     1.31     6.62     1.01     0.50     0.74     0.12     0.00     9.15    19.10     0.00     0.00     2.50
