 aaaammgghhpp  LAMACC   PICCAT 
 202009290000     0.00     0.00
 202009290100     0.00     0.00
 202009290200     0.00     0.00
 202009290300     0.00     0.00
 202009290400     0.04     0.00
 202009290500     0.30     0.00
 202009290600     0.48     0.00
 202009290700     0.53     0.00
 202009290800     0.60     0.00
 202009290900     0.73     0.00
 202009291000     0.85     0.00
 202009291100     1.02     0.00
 202009291200     1.12     0.00
 202009291300     1.21     0.00
 202009291400     1.37     0.00
 202009291500     1.47     0.00
 202009291600     1.59     0.00
 202009291700     1.69     0.00
 202009291800     1.71     0.00
 202009291900     1.74     0.00
 202009292000     1.78     0.00
 202009292100     1.86     0.00
 202009292200     1.95     0.00
 202009292300     2.01     0.00
 202009300000     2.09     0.00
 202009300100     2.16     0.00
 202009300200     2.20     0.00
 202009300300     2.29     0.00
 202009300400     2.29     0.00
 202009300500     2.34     0.00
 202009300600     2.36     0.00
 202009300700     2.37     0.00
 202009300800     2.41     0.00
 202009300900     2.44     0.00
 202009301000     2.47     0.00
 202009301100     2.52     0.00
 202009301200     2.58     0.00
 202009301300     2.58     0.00
 202009301400     2.62     0.00
 202009301500     2.72     0.00
 202009301600     2.74     0.00
 202009301700     2.83     0.00
 202009301800     2.86     0.00
 202009301900     2.86     0.00
 202009302000     2.87     0.00
 202009302100     2.88     0.00
 202009302200     2.87     0.00
 202009302300     2.87     0.00
 202010010000     2.87     0.00
 202010010100     2.91     0.00
 202010010200     2.97     0.00
 202010010300     3.01     0.00
 202010010400     3.04     0.00
 202010010500     3.09     0.00
 202010010600     3.08     0.00
 202010010700     3.08     0.00
 202010010800     3.07     0.00
 202010010900     2.76     0.00
 202010011000     0.60     0.00
 202010011100     0.23     0.00
 202010011200     0.06     0.00
 202010011300     0.00     0.00
 202010011400     0.00     0.00
 202010011500     0.00     0.00
 202010011600     0.00     0.00
 202010011700     0.00     0.00
 202010011800     0.00     0.00
