 aaaammgghhpp  AULE00   BOVARA   MAGR01   STUVIG   ARGCAP   GATTOR   LICTAV   BAGNON   PTEGLI   SCRI01   BRUDIG 
 202010011400     0.08     3.15     0.05     0.12     0.00     0.02     0.00     0.00     0.06     0.93     0.05
 202010011500     0.02     0.64     0.01     0.02     0.00     0.00     0.00     0.00     0.02     0.39     0.00
 202010011600     0.00     0.30     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.16     0.00
 202010011700     0.00     0.14     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.07     0.00
 202010011800     0.00     0.06     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011900     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010012000     0.00     0.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010012100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010012200     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010012300     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010020000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010020100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010020200     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
