 aaaammgghhpp  AULSOL   NASCET   SCRMON 
 202009290000     0.00     0.00     0.00
 202009290100     0.00     0.00     0.00
 202009290200     0.00     0.00     0.00
 202009290300     0.07     0.06     0.00
 202009290400     0.08     0.71     0.11
 202009290500     0.09     1.20     0.28
 202009290600     0.11     1.92     0.79
 202009290700     0.12     2.78     1.45
 202009290800     0.12     3.65     1.96
 202009290900     0.11     4.63     2.43
 202009291000     0.13     5.20     2.81
 202009291100     0.16     5.81     3.22
 202009291200     0.16     6.25     3.62
 202009291300     0.15     6.99     4.03
 202009291400     0.18     7.40     4.44
 202009291500     0.18     7.73     4.62
 202009291600     0.21     7.98     4.81
 202009291700     0.21     8.22     4.97
 202009291800     0.21     8.54     5.04
 202009291900     0.20     8.73     5.19
 202009292000     0.21     8.98     5.25
 202009292100     0.20     9.17     5.33
 202009292200     0.19     9.37     5.34
 202009292300     0.20     9.58     5.32
 202009300000     0.20     9.64     5.32
 202009300100     0.19     9.77     5.31
 202009300200     0.18     9.95     5.33
 202009300300     0.18    10.06     5.45
 202009300400     0.18    10.18     5.45
 202009300500     0.18    10.29     5.46
 202009300600     0.17    10.41     5.41
 202009300700     0.17    10.41     5.37
 202009300800     0.17    10.42     5.32
 202009300900     0.17    10.44     5.26
 202009301000     0.18    10.58     5.25
 202009301100     0.18    10.68     5.21
 202009301200     0.17    10.66     5.17
 202009301300     0.17    10.64     5.15
 202009301400     0.16    10.64     5.11
 202009301500     0.16    10.61     5.09
 202009301600     0.15    10.66     5.06
 202009301700     0.15    10.65     5.01
 202009301800     0.14    10.71     4.96
 202009301900     0.14    10.75     4.94
 202009302000     0.13    10.68     4.91
 202009302100     0.13    10.68     4.87
 202009302200     0.13    10.64     4.85
 202009302300     0.12    10.62     4.85
 202010010000     0.12    10.54     4.80
 202010010100     0.11    10.51     4.75
 202010010200     0.11    10.44     4.72
 202010010300     0.11    10.45     4.67
 202010010400     0.10    10.38     4.61
 202010010500     0.10    10.29     4.56
 202010010600     0.10    10.22     4.53
 202010010700     0.09    10.15     4.48
 202010010800     0.09    10.05     4.42
 202010010900     0.09     9.97     4.37
 202010011000     0.09     9.89     4.32
 202010011100     0.08     9.79     4.27
 202010011200     0.08     9.71     4.22
 202010011300     0.08     9.64     4.17
 202010011400     0.08     9.55     4.12
 202010011500     0.07     9.46     4.07
 202010011600     0.07     9.41     4.03
 202010011700     0.07     9.33     3.98
 202010011800     0.06     9.28     3.94
 202010011900     0.06     9.69     3.89
 202010012000     0.06    10.18     7.80
 202010012100     0.06    14.21    14.05
 202010012200     0.06    22.87    21.55
 202010012300     0.24    21.34    29.57
 202010020000     0.55    14.14    12.08
 202010020100     0.08     3.20     5.75
 202010020200     0.00     1.03     3.42
 202010020300     0.02     0.29     1.31
 202010020400     0.00     0.03     0.71
 202010020500     0.00     0.02     0.15
 202010020600     0.00     0.00     0.00
 202010020700     0.00     0.00     0.00
 202010020800     0.00     0.00     0.00
 202010020900     0.00     0.00     0.00
