 aaaammgghhpp  FERRAN   ARGE01   CALAMA   LAPRES   NERVBU   PBATTO   STUR00   IMPTRE   ARRO01   PENNEV   ACQULE   SECCPO   PONTEX   LAVA01   TREB01   SCRBUS   CARCAR 
 202009290000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202009290100     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.05     0.00     0.00     0.02     0.00
 202009290200     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.15     0.00     0.14     0.00     0.04     0.12     0.00
 202009290300     0.00     0.00     0.15     0.06     0.00     0.00     0.00     0.00     0.00     0.00     0.25     0.09     0.32     0.04     0.08     0.40     0.00
 202009290400     0.00     0.00     0.30     0.23     0.00     0.00     0.00     0.00     0.00     0.00     0.34     0.41     0.41     0.10     0.15     0.60     0.00
 202009290500     0.00     0.00     0.49     0.40     0.00     0.00     0.07     0.00     0.00     0.00     0.50     0.76     0.74     0.14     0.29     0.72     0.00
 202009290600     0.00     0.00     0.69     0.92     0.00     0.13     0.18     0.00     0.00     0.00     0.65     0.98     1.09     0.34     0.77     1.48     0.00
 202009290700     0.00     0.00     0.80     1.24     0.00     0.24     0.25     0.00     0.00     0.00     0.81     1.23     1.37     0.55     1.25     3.30     0.00
 202009290800     0.00     0.00     0.92     1.44     0.00     0.40     0.40     0.00     0.00     0.00     0.93     1.44     1.78     0.87     1.99     4.98     0.00
 202009290900     0.00     0.00     0.97     1.67     0.00     1.01     0.66     0.00     0.00     0.00     1.17     1.52     2.03     1.11     2.51     6.57     0.00
 202009291000     0.00     0.00     1.03     1.98     0.00     1.44     0.78     0.00     0.00     0.00     1.29     1.66     2.35     1.31     2.97     8.10     0.00
 202009291100     0.00     0.00     1.10     2.18     0.00     1.69     0.97     0.00     0.00     0.00     1.47     1.75     2.78     1.61     3.46     9.67     0.00
 202009291200     0.00     0.00     1.14     2.32     0.00     2.09     1.10     0.00     0.00     0.00     1.58     1.81     3.05     1.86     4.09    11.23     0.00
 202009291300     0.00     0.00     1.17     2.47     0.00     2.74     1.20     0.00     0.00     0.00     1.61     1.85     3.23     2.05     4.42    12.31     0.00
 202009291400     0.00     0.00     1.23     2.62     0.00     3.21     1.27     0.00     0.00     0.00     1.69     1.93     3.45     2.32     4.74    13.42     0.00
 202009291500     0.00     0.00     1.30     2.75     0.00     3.67     1.51     0.00     0.00     0.00     1.72     2.06     3.60     2.56     5.14    14.21     0.00
 202009291600     0.00     0.00     1.37     2.80     0.00     4.00     1.70     0.00     0.00     0.00     1.74     2.10     3.80     2.76     5.34    14.82     0.00
 202009291700     0.00     0.00     1.40     2.85     0.00     4.36     1.76     0.00     0.00     0.00     1.74     2.13     3.97     2.91     5.61    15.29     0.00
 202009291800     0.00     0.00     1.53     2.85     0.00     5.03     1.90     0.00     0.00     0.00     1.75     2.25     4.08     3.09     5.85    15.83     0.00
 202009291900     0.00     0.00     1.56     2.82     0.00     5.65     1.99     0.00     0.00     0.00     1.76     2.31     4.21     3.26     6.04    16.22     0.00
 202009292000     0.00     0.00     1.53     2.88     0.00     6.03     2.10     0.00     0.00     0.00     1.75     2.37     4.32     3.44     6.10    16.50     0.00
 202009292100     0.00     0.00     1.55     2.97     0.00     6.40     2.26     0.00     0.00     0.00     1.74     2.44     4.52     3.57     6.16    16.75     0.00
 202009292200     0.00     0.00     1.57     2.99     0.00     6.73     2.43     0.00     0.00     0.00     1.72     2.48     4.61     3.68     6.24    16.96     0.00
 202009292300     0.00     0.00     1.55     2.97     0.00     7.03     2.50     0.00     0.00     0.00     1.72     2.47     4.71     3.73     6.28    17.19     0.00
 202009300000     0.00     0.00     1.57     2.97     0.00     7.35     2.60     0.00     0.00     0.00     1.72     2.53     4.81     3.78     6.28    17.32     0.00
 202009300100     0.00     0.00     1.56     2.97     0.00     7.69     2.64     0.00     0.00     0.00     1.75     2.59     4.87     3.84     6.29    17.36     0.00
 202009300200     0.00     0.00     1.56     3.06     0.00     8.04     2.68     0.00     0.00     0.00     1.73     2.72     4.89     3.91     6.34    17.45     0.00
 202009300300     0.00     0.00     1.60     3.06     0.00     8.50     2.71     0.00     0.00     0.00     1.70     2.75     4.90     3.93     6.34    17.41     0.00
 202009300400     0.00     0.00     1.60     3.02     0.00     8.88     2.72     0.00     0.00     0.00     1.69     2.77     4.89     3.94     6.32    17.37     0.00
 202009300500     0.00     0.00     1.59     2.99     0.00     9.19     2.75     0.00     0.00     0.00     1.69     2.79     4.96     3.95     6.35    17.45     0.00
 202009300600     0.00     0.00     1.59     2.96     0.00     9.45     2.81     0.00     0.00     0.00     1.68     2.77     4.99     4.03     6.34    17.36     0.00
 202009300700     0.00     0.00     1.58     2.93     0.00     9.78     2.84     0.00     0.00     0.00     1.66     2.75     4.98     4.05     6.29    17.40     0.00
 202009300800     0.00     0.00     1.59     2.89     0.00     9.95     2.84     0.00     0.00     0.00     1.64     2.81     4.98     4.07     6.25    17.29     0.00
 202009300900     0.00     0.00     1.57     2.90     0.00    10.15     2.88     0.00     0.00     0.00     1.62     2.85     5.00     4.11     6.23    17.16     0.00
 202009301000     0.00     0.00     1.59     2.89     0.00    10.32     2.90     0.00     0.00     0.00     1.60     2.89     4.97     4.16     6.21    17.02     0.00
 202009301100     0.00     0.00     1.60     2.87     0.00    10.45     2.88     0.00     0.00     0.00     1.58     2.90     4.95     4.21     6.17    16.89     0.00
 202009301200     0.00     0.00     1.58     2.85     0.00    10.60     2.87     0.00     0.00     0.00     1.57     2.90     4.95     4.19     6.13    16.74     0.00
 202009301300     0.00     0.00     1.57     2.85     0.00    10.71     2.87     0.00     0.00     0.00     1.56     2.93     4.98     4.19     6.07    16.57     0.00
 202009301400     0.00     0.00     1.54     2.82     0.00    10.73     2.90     0.00     0.00     0.00     1.54     2.95     4.94     4.27     6.02    16.39     0.00
 202009301500     0.00     0.00     1.52     2.78     0.00    10.82     2.89     0.00     0.00     0.00     1.52     2.94     4.91     4.31     5.99    16.25     0.00
 202009301600     0.00     0.00     1.50     2.75     0.00    10.95     2.87     0.00     0.00     0.00     1.50     2.94     4.86     4.34     5.97    16.11     0.00
 202009301700     0.00     0.00     1.49     2.74     0.00    11.03     2.88     0.00     0.00     0.00     1.48     2.98     4.82     4.36     5.92    15.98     0.00
 202009301800     0.00     0.00     1.47     2.71     0.00    11.14     2.87     0.00     0.00     0.00     1.46     3.00     4.79     4.34     5.87    15.83     0.00
 202009301900     0.00     0.00     1.48     2.68     0.00    11.32     2.91     0.00     0.00     0.00     1.45     2.97     4.75     4.30     5.83    15.68     0.00
 202009302000     0.00     0.00     1.47     2.64     0.00    11.46     2.93     0.00     0.00     0.00     1.45     2.94     4.72     4.27     5.81    15.56     0.00
 202009302100     0.00     0.00     1.48     2.61     0.00    11.58     2.91     0.00     0.00     0.00     1.43     2.93     4.68     4.27     5.76    15.42     0.00
 202009302200     0.00     0.00     1.46     2.58     0.00    11.65     2.92     0.00     0.00     0.00     1.41     2.90     4.67     4.30     5.72    15.27     0.00
 202009302300     0.00     0.00     1.46     2.55     0.00    11.75     2.91     0.00     0.00     0.00     1.39     2.89     4.66     4.33     5.68    15.10     0.00
 202010010000     0.00     0.00     1.46     2.51     0.00    11.77     2.94     0.00     0.00     0.00     1.37     2.88     4.61     4.32     5.62    14.95     0.00
 202010010100     0.00     0.00     1.40     1.09     0.00    11.78     2.43     0.00     0.00     0.00     0.59     1.84     4.44     3.89     3.59    13.76     0.00
 202010010200     0.00     0.00     1.32     0.07     0.00    10.90     1.30     0.00     0.00     0.00     0.11     0.53     0.74     2.20     1.13    10.41     0.00
 202010010300     0.00     0.00     1.10     0.01     0.00     8.65     0.21     0.00     0.00     0.00     0.05     0.37     0.23     0.76     0.63     3.95     0.00
 202010010400     0.00     0.00     0.81     0.00     0.00     6.09     0.04     0.00     0.00     0.00     0.00     0.15     0.04     0.04     0.23     1.28     0.00
 202010010500     0.00     0.00     0.26     0.00     0.00     2.66     0.00     0.00     0.00     0.00     0.00     0.06     0.00     0.02     0.16     0.55     0.00
 202010010600     0.00     0.00     0.08     0.00     0.00     0.67     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.26     0.00
 202010010700     0.00     0.00     0.01     0.00     0.00     0.26     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.04     0.09     0.00
 202010010800     0.00     0.00     0.00     0.00     0.00     0.13     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010010900     0.00     0.00     0.00     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011000     0.00     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011100     0.00     0.00     0.00     0.00     0.00     0.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011200     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011300     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011400     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011500     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010011600     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
