 aaaammgghhpp  LAMACC   PICCAT 
 202010030000     0.00     0.00
 202010030100     0.00     0.00
 202010030200     0.00     0.00
 202010030300     0.26     0.09
 202010030400     1.57     0.37
 202010030500     7.97     2.20
 202010030600    22.69     5.28
 202010030700    49.60    12.59
 202010030800    73.04    19.68
 202010030900    82.75    24.28
 202010031000    86.72    26.80
 202010031100    81.25    25.16
 202010031200    71.20    24.53
 202010031300    60.99    21.87
 202010031400    53.58    20.36
 202010031500    49.46    19.60
 202010031600    46.99    19.04
 202010031700    45.52    18.69
 202010031800    44.69    18.48
 202010031900    43.88    18.27
 202010032000    43.25    18.62
 202010032100    43.47    21.50
 202010032200    46.26    25.47
 202010032300    46.39    30.34
 202010040000    44.24    26.70
 202010040100    42.48    22.21
 202010040200    40.94    20.11
 202010040300    39.80    19.08
 202010040400    38.86    18.36
 202010040500    38.77    18.67
 202010040600    40.00    18.59
 202010040700    39.36    18.44
 202010040800    38.48    18.71
 202010040900    37.27    17.99
 202010041000    36.07    18.05
 202010041100    35.62    20.71
 202010041200    39.53    24.01
 202010041300    49.08    26.37
 202010041400    43.84    21.66
 202010041500    41.40    19.43
 202010041600    43.83    20.36
 202010041700    54.76    25.94
 202010041800    54.03    32.95
 202010041900    54.99    38.05
 202010042000    52.37    38.90
 202010042100    51.21    36.96
 202010042200    48.23    30.82
 202010042300    47.92    25.56
 202010050000    44.22    24.34
 202010050100    39.84    21.95
 202010050200    37.59    23.36
 202010050300    35.44    25.19
 202010050400    34.26    20.81
 202010050500    33.13    18.71
 202010050600    32.93    17.91
 202010050700    35.52    14.74
 202010050800    16.99     4.79
 202010050900     8.60     1.99
 202010051000     4.21     0.91
 202010051100     1.60     0.18
 202010051200     0.61     0.01
 202010051300     0.19     0.00
 202010051400     0.04     0.00
 202010051500     0.00     0.00
 202010051600     0.00     0.00
