 aaaammgghhpp  AULE00   BOVARA   MAGR01   STUVIG   ARGCAP   GATTOR   LICTAV   BAGNON   PTEGLI   SCRI01   BRUDIG 
 202010030000     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010030100     0.00     0.00     0.05     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010030200     0.00     0.04     0.37     0.00     0.00     0.12     0.00     0.00     0.00     0.25     0.45
 202010030300     0.06     0.15     1.16     0.05     0.09     0.90     0.00     0.00     0.00     0.66     2.58
 202010030400     0.33     0.49     3.97     1.71     3.07     3.81     0.02     0.04     0.04     9.02     5.95
 202010030500     1.09     3.17    12.80     7.97     8.92     8.22     0.31     0.03     2.31    20.54    11.92
 202010030600     1.48    11.87    25.58    26.47     9.96    23.54     1.13     0.09     5.00    50.08    20.89
 202010030700     4.64    36.06    54.66    58.43    10.56    51.80     1.67     0.10    13.89   100.89    31.98
 202010030800     8.37    69.88    79.21    75.62    11.27    58.02     3.91     0.15    16.36   143.59    39.76
 202010030900    16.75   103.37    92.36    83.47    11.80    52.76     6.13     0.28    18.05   147.53    41.39
 202010031000    25.11   130.91    94.52    86.28    12.27    36.60     8.48     0.34    16.42   122.04    32.21
 202010031100    28.53   139.06    88.39    72.31    12.61    25.37     8.49     0.49    14.62    89.59    21.52
 202010031200    25.67   138.02    82.46    53.45    12.87    20.14     6.55     0.57    13.46    66.48    13.14
 202010031300    19.96   127.89    70.66    40.26    13.05    18.71     5.11     0.58    12.03    52.74     8.97
 202010031400    15.87   113.34    62.72    32.67    13.15    18.36     3.47     0.54    11.33    45.93     7.98
 202010031500    12.83   100.55    58.27    29.50    13.15    18.08     3.12     0.64    10.91    41.79     7.60
 202010031600    12.02    92.07    56.02    28.25    13.05    17.80     2.75     0.69    10.76    39.49     7.42
 202010031700    11.50    87.48    54.72    27.46    12.91    17.50     2.74     0.67    10.63    38.27     7.27
 202010031800    11.51    84.36    53.83    27.02    12.80    17.23     2.81     0.71    10.49    37.48     7.13
 202010031900    11.57    82.43    53.02    26.60    12.68    17.00     2.80     0.76    10.35    36.72     7.08
 202010032000    11.85    81.51    52.79    26.32    12.52    16.89     2.96     0.98    10.45    36.43     7.18
 202010032100    14.32    82.52    59.35    26.71    12.43    17.17     4.17     1.23    12.97    37.25     7.15
 202010032200    19.27    86.51    68.20    26.94    12.21    16.58     6.50     1.78    14.42    36.86     7.00
 202010032300    29.55    94.55    88.87    26.13    12.01    16.15    10.01     3.24    23.60    35.32     6.75
 202010040000    47.60    95.65    83.92    25.38    11.83    15.80    14.89     3.28    18.49    34.03     6.56
 202010040100    66.22    91.76    69.86    24.72    11.65    15.48    18.84     2.73    16.18    33.12     6.36
 202010040200    68.78    85.28    60.23    24.42    11.49    15.20    15.79     2.48    12.08    32.31     6.19
 202010040300    62.13    79.98    55.65    23.89    11.34    14.96    12.00     2.47    11.28    31.58     6.04
 202010040400    46.35    77.41    52.56    23.73    11.19    15.01     8.11     2.51    10.70    30.91     6.13
 202010040500    39.53    75.38    52.76    25.14    11.08    15.70     7.26     2.41    10.42    31.12     6.40
