 aaaammgghhpp  AULE00   BOVARA   MAGR01   STUVIG   ARGCAP   GATTOR   LICTAV   BAGNON   PTEGLI   SCRI01   BRUDIG 
 202010040600    36.76    73.89    53.15    27.49    10.87    15.47     6.99     2.47    10.38    30.91     6.35
 202010040700    35.66    74.05    53.63    25.40    10.72    14.62     7.17     2.56    10.45    30.09     6.13
 202010040800    35.91    75.09    53.27    23.87    10.55    14.08     7.13     2.58    10.20    29.15     5.85
 202010040900    35.43    73.43    51.17    22.74    10.39    13.80     7.00     2.67     9.83    28.46     5.58
 202010041000    33.66    71.50    49.68    21.80    10.23    13.53     7.17     2.77     9.71    27.86     5.40
 202010041100    33.04    70.39    54.35    21.69    10.08    13.37     7.32     2.93    10.76    27.30     5.28
 202010041200    33.64    76.43    69.20    25.48     9.94    13.23     7.77     3.27    14.09    26.77     5.25
 202010041300    36.10    88.68    83.33    29.44    12.94    14.01     8.16     3.76    15.61    27.18     9.38
 202010041400    43.27    91.84    74.61    26.20    23.84    18.35     9.49     3.32    13.19    41.33    12.66
 202010041500    50.39    94.62    60.76    25.87    22.20    22.97     8.29     3.52    11.68    50.32    14.24
 202010041600    42.01    88.71    60.05    34.58    15.52    26.92     8.57     3.94    13.47    53.49    15.78
 202010041700    42.89    90.31    72.14    42.28    11.95    32.25    10.56     6.08    15.70    61.07    15.82
 202010041800    51.82    98.70    85.99    39.58    12.09    30.07    13.88     8.76    17.25    66.43    15.57
 202010041900    65.22   112.17    99.50    35.74    15.12    22.85    19.87     8.34    19.60    57.20    13.64
 202010042000    82.94   112.89   103.63    30.70    13.10    19.70    22.07    11.13    18.71    49.03    11.12
 202010042100    93.26   112.79   101.13    35.18    11.57    19.84    30.27    11.34    18.43    42.47     9.52
 202010042200    99.80   105.61    88.69    30.85    10.74    16.62    27.28     8.32    15.45    37.79     7.99
 202010042300    91.01   100.14    73.39    32.79    10.45    15.02    23.44     7.63    13.67    35.68     8.27
 202010050000    86.32    94.06    67.17    33.17    10.28    14.88    20.85     7.95    12.20    40.06     8.77
 202010050100    76.10    90.52    62.74    31.45    10.12    15.29    19.57     6.99    11.37    40.45     8.22
 202010050200    73.94    84.64    66.32    28.83     9.95    17.50    20.80     7.24    16.88    36.63     7.88
 202010050300    78.72    77.71    68.64    26.43     9.80    16.96    27.29     7.16    15.39    36.25     7.37
 202010050400    90.98    73.13    60.38    24.15     9.63    15.29    23.93     6.31    13.52    33.78     6.72
 202010050500    91.82    69.24    52.84    23.21     9.49    15.33    17.90     6.17    10.94    30.75     6.19
 202010050600    72.82    66.94    49.72    22.11     9.34    14.04    14.59     6.17     9.97    28.72     5.80
 202010050700    62.31    65.45    48.36    23.91     9.20    13.07    13.79     6.26     9.53    27.36     5.56
 202010050800    60.69    65.86    47.41    22.73     9.04    12.60    15.41     6.30     9.53    26.43     5.38
 202010050900    65.63    70.04    44.43    18.71     6.84     9.54    13.85     4.57     8.42    23.98     3.31
 202010051000    59.47    58.54    21.94     6.47     0.66     2.33     8.65     0.75     3.06    12.34     1.42
 202010051100    33.97    43.82     8.04     2.42     0.07     0.65     1.27     0.27     1.12     4.87     0.57
 202010051200    13.56    21.04     3.26     0.77     0.00     0.02     0.33     0.16     0.40     2.22     0.05
 202010051300     6.50     9.68     1.05     0.20     0.00     0.00     0.06     0.11     0.09     0.93     0.01
 202010051400     3.21     4.38     0.18     0.10     0.00     0.00     0.02     0.01     0.01     0.38     0.00
 202010051500     2.18     1.79     0.06     0.07     0.00     0.00     0.00     0.00     0.00     0.04     0.00
 202010051600     1.45     0.78     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010051700     1.04     0.28     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010051800     0.87     0.08     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010051900     0.45     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010052000     0.34     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010052100     0.15     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010052200     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010052300     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
