 aaaammgghhpp  ARGEME   ARMVAL   AVECAB   CAIROM   CAMINA   CARASC   FORNOL   IMPERU   MOLINE   MURIAL   NERV01   NEVCIS   PORTOV   SANTUA   STSGIU   VOBBIE   QUAZQU   BOLSTE   POLCAM   BISMOL   ROVEGN   SCRISO   CAMPST 
 202010030000     0.00     0.00     0.00     0.12     0.00     0.00     0.00     0.00     0.00     0.09     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
 202010030100     0.00     0.00     0.00     1.29     0.00     0.00     0.09     0.00     0.01     0.48     0.11     0.04     0.07     0.01     0.00     0.00     0.00     0.08     0.02     0.06     0.00     0.00     0.01
 202010030200     0.02     0.00     0.00     2.75     0.00     0.06     0.16     0.00     0.93     0.40     0.40     0.07     1.26     0.08     0.00     0.04     0.00     0.12     0.96     0.53     0.00     0.37     0.87
 202010030300     0.06     0.00     0.26     1.53     0.07     0.12     0.36     0.04     0.89     0.26     0.44     0.32     4.01     0.12     0.06     0.24     0.00     0.30     4.35     1.71     1.37     3.28     2.93
 202010030400     0.20     0.12     1.74     1.40     0.89     2.19     1.10     0.18     1.63     0.25     1.56     0.99    11.44     0.14     0.18     2.25     0.00     1.05     5.55     4.15     9.21     5.61     6.22
 202010030500     2.34     0.73     4.94     1.25     4.45    15.03     3.14     0.33     2.82     0.55     4.12     2.87    24.22     0.40     0.36     6.33     0.00     1.52     6.56     6.66    22.27     8.70     8.48
 202010030600     9.13     0.95    14.75     1.62    11.93    43.78     9.09     0.31     4.56     0.72     6.87     5.97    41.89     0.64     0.47    19.06     0.16     2.09    13.52    18.25    51.58    27.98    12.90
 202010030700    15.13     1.41    28.17     1.28    21.53   101.90    22.97     0.32     5.25     1.08     6.74     7.41    52.56     0.77     0.57    36.75     0.15     2.42    39.88    48.65    85.64    61.87    16.94
 202010030800    17.15     1.82    33.59     1.55    26.39   170.82    47.10     0.40     5.14     1.63     7.82     7.55    51.98     0.79     0.79    39.55     0.25     2.92    44.07    66.73   115.35   106.76    17.30
 202010030900    19.37     2.11    37.30     1.58    27.93   223.22   100.71     0.42     5.19     2.34     9.46     7.64    52.00     1.00     0.99    44.31     0.35     3.14    44.22    56.67   134.78   152.56    16.56
 202010031000    20.90     2.31    33.14     1.71    27.19   243.37   174.44     0.45     5.04     2.90    10.18     7.80    50.55     1.13     1.24    35.01     0.48     3.28    39.77    39.99   135.84   191.32    15.76
 202010031100    22.18     2.49    25.34     1.82    23.77   223.06   263.99     0.51     5.04     3.38    10.76     8.19    50.34     1.19     1.38    25.14     0.53     3.43    36.58    26.41   112.64   188.10    15.25
 202010031200    23.25     2.58    20.58     1.92    17.93   168.97   327.38     0.77     5.03     3.61    11.26     8.72    49.53     1.37     1.44    19.71     0.57     3.57    33.81    19.73    85.66   157.80    14.92
 202010031300    24.13     2.70    17.37     2.10    14.32   126.06   358.79     0.89     5.05     4.05    11.72     9.18    48.86     1.53     1.43    16.92     0.66     3.66    32.25    17.17    66.13   120.81    14.54
 202010031400    25.02     2.82    15.89     2.38    12.12   100.06   352.78     0.94     5.01     4.57    12.15     9.41    47.95     1.69     1.45    16.32     0.71     3.68    31.53    16.52    53.76    93.87    14.11
 202010031500    25.68     2.95    14.81     2.45    11.06    89.61   332.85     0.96     5.00     4.90    12.54     9.54    47.07     1.76     1.54    15.84     0.72     3.65    30.95    16.08    48.83    78.22    13.81
 202010031600    26.21     3.05    14.33     2.48    10.61    85.27   305.57     1.06     5.00     5.20    12.79     9.70    46.25     1.80     1.58    15.50     0.72     3.66    30.52    15.77    45.62    70.53    13.53
 202010031700    26.31     3.13    14.08     2.55    10.40    82.89   275.24     1.19     4.93     5.45    13.01     9.78    45.31     1.81     1.55    15.18     0.77     3.64    30.13    15.46    43.90    65.57    13.25
 202010031800    26.43     3.15    13.84     2.61    10.19    81.35   254.04     1.29     4.84     5.64    13.30     9.93    44.54     1.84     1.54    14.86     0.78     3.60    29.70    15.16    42.21    62.82    12.97
 202010031900    26.51     3.20    13.64     2.66     9.98    79.99   241.65     1.36     4.76     5.80    13.36    10.09    43.63     1.90     1.55    14.56     0.79     3.55    29.25    14.87    41.20    61.18    12.71
 202010032000    26.59     3.31    13.51     2.72     9.83    78.72   235.30     1.43     4.69     6.04    13.40    10.14    42.77     1.91     1.52    14.34     0.80     3.50    28.89    14.66    40.51    60.02    12.47
